"language","id","text","resultado"
"pt","19071","nunca em toda minha vida conheci um presidente tao humilde quanto o senhor  tenho 17 anos e 2018 foi meu primeiro voto para presidente  e nunca me senti tao orgulhoso  presidente  vc e o cara   ",0.508195877075195
"pt","27","eu entendi ela em libras muito melhor que a dilma em portugues ",0.710541725158691
"pt","29","sou surda em eu estou orgulhosa   fiquei muito emocao chorei   libras   primeira dama discurso      mais valorizacao surdos   eu acredita em deus  ",0.0238095242530107
"pt","28","o apice para mim foi a interprete chorando  chorei junto  e os beijinhos ",0
"pt","19066","caneta mont blanc  r  3 500 00  ver seu presidente assinar a posse dos ministros com uma caneta bic nao tem preco ",0.369261384010315
"pt","66","as definicoes de  empoderamento  e  lacracao  foram atualizadas com sucesso ",0.742683291435242
"pt","5830","foi cuspido  esfaqueado  humilhado  extremamente desrespeitado por toda a midia  e hoje foi chamado de excelentissimo presidente da republica  ",0.284724354743958
"pt","30","e serio  quem tiver coragem de criticar esse lindo discurso da nossa primeira dama e pq esta com muita inveja  foi lindo de mais tenho certeza que emocionou muita gente inclusive eu  parabens emocionante ",0.794117629528046
"pt","19090","amanha vai ser noticia presidente bolsonaro sequestrou criancas e fez churrasquinho delas ",0.513644456863403
"pt","19092","pesquisa rapida   satisfeito  votaria novamente  insatisfeito",0.514253318309784
"pt","69566","nao existe nada pior do que ser caluniado  deus e justo e ve tudo sr presidente  que deus cuide do senhor",0.11687258630991
"pt","19082","voce e demais bolsonaro  eu como professora de educacao infantil fico muito feliz que tenha amor pelas nossas criancas ",1
"pt","19076","bolsonaroooo minha familia nao fala mas comigo porque votei no senhor   17 votarei de novo em 2022 que orgulho do senhor presidente",0.303437292575836
"pt","69587","amigos  convoco a todos que comecemos uma corrente de oracoes por esse presidente  mais do que nunca ele esta precisando  so mesmo deus acima de tudo e de todos      ",0.694783389568329
"pt","69565","va na rede nacional e de uma declaracao   de forma decente  sai das redes e faz papel de presidente  se coloca no seu lugar ",0.637347519397736
"pt","19089","tenho 37 anos de idade e ate hoje em todos esses anos de vida que deus tem mim concedido nunca vir na estoria do brasil um presidente honesto de carater simples com tanta humildade igual temos visto ja durante esses cinco meses  analisando tudo isso vejo com todo conviccao que nunca em toda minha vida votei tao certo  sem duvida meu voto e meu esforco nas minhas redes sociais em apoio a esse grande homem meu presidente tem valido muito apena  sem duvida vc nos representa ",0.616279065608978
"pt","44161","sua formatura de espadim 1977 capitao reliquia hein   rsrs",0.744506001472473
"pt","94708","alguem ai sabe onde eu compro uma urna eletronica pra votar no bolsonaro todo dia  #bolsonaro2022",0.411450445652008
"pt","69572","tenha calma homem   cuide de sua saude   foque  no que esta acontecendo de bom em nossa nacao em seu governo ",1
"pt","19075","oooo lula posso ir na sua casa     nao companherinho la e muito apertado  nem o sol da para ver nascer kkkkk pega a visao ai vitor hugo",0.203786104917526
"pt","94684","nunca na historia do brasil um presidente teve tanto cuidado com o povao  ",0.603481292724609
"pt","94694","qual a parte que vcs nao entenderam que o melhor canal pra ele se comunicar e a internet    a midia distorce ate uma virgula do que ele fala",0.586707890033722
"pt","69564","querem tirar o senhor de qualquer jeito   parabens pelo seu trabalho   ate o momento o senhor e o melhor presidente que o brasil ja teve  ",0.895308554172516
