,path,id,parent_id,level,object_id,object_type,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
50591,jairmessias.bolsonaro/211857482296579_1475667249248923/1475667249248923_1475670015915313,50596,4,2,1475667249248923_1475670015915313,data,fetched (200),2020-05-29 13:17:59.734665,Facebook:/<post-id>/comments,nunca em toda minha vida conheci um presidente tao humilde quanto o senhor  tenho 17 anos e 2018 foi meu primeiro voto para presidente  e nunca me senti tao orgulhoso  presidente  vc e o cara   ,2019-06-03T02:21:28+0000,6764.0,1312.0,
75705,jairmessias.bolsonaro/211857482296579_1370373509778298/1370373509778298_294830744565623,75709,5,2,1370373509778298_294830744565623,data,fetched (200),2020-05-29 13:24:02.054187,Facebook:/<post-id>/comments,ao sair descubra quem mandou mata lo  nao e vinganca  e justica  e o brasil espera por isso  continuo em oracao pelo seu restabelecimento ,2019-02-09T15:49:29+0000,6637.0,330.0,
82635,jairmessias.bolsonaro/211857482296579_1370373509778298/1370373509778298_252648532294197,82639,5,2,1370373509778298_252648532294197,data,fetched (200),2020-05-29 13:25:39.926916,Facebook:/<post-id>/comments,senhor presidente jair bolsonaro   transforme os hospitais federais em hospitais de excelencia igual ao hospital albert einstein   os brasileiros e as brasileiras merecem qualidades nos atendimentos medicos  farmaceuticos e tudo mais que e oferecido no hospital albert einstein ,2019-02-09T15:36:57+0000,5104.0,665.0,
75681,jairmessias.bolsonaro/211857482296579_1370373509778298/1370373509778298_1370375909778058,75685,5,2,1370373509778298_1370375909778058,data,fetched (200),2020-05-29 13:24:02.054187,Facebook:/<post-id>/comments,nao vejo a hora de ver nosso presidente comendo aquele churrasco   ,2019-02-09T15:35:15+0000,5007.0,264.0,
75704,jairmessias.bolsonaro/211857482296579_1370373509778298/1370373509778298_331515050797232,75708,5,2,1370373509778298_331515050797232,data,fetched (200),2020-05-29 13:24:02.054187,Facebook:/<post-id>/comments,o teu sofrimento nao sera em vao    nos seremos eternamente gratos pelo seu calvario por nos e pelo brasil,2019-02-09T15:46:03+0000,3886.0,158.0,
25421,jairmessias.bolsonaro/211857482296579_1663830393765940/1663830393765940_198634164499805,25427,3,2,1663830393765940_198634164499805,data,fetched (200),2020-05-29 13:11:48.936395,Facebook:/<post-id>/comments,presidente assim que estiver formado o partido em todos os estados eu e meu esposo iremos nos filiar  nunca fomos filiados a nenhum partido mas estamos de maos dadas contigo  deus lhe abencoe   ,2019-11-12T22:39:53+0000,2799.0,223.0,
50610,jairmessias.bolsonaro/211857482296579_1475667249248923/1475667249248923_1084279355098289,50615,4,2,1475667249248923_1084279355098289,data,fetched (200),2020-05-29 13:17:59.734665,Facebook:/<post-id>/comments,amanha vai ser noticia presidente bolsonaro sequestrou criancas e fez churrasquinho delas ,2019-06-03T02:32:48+0000,2649.0,790.0,
50602,jairmessias.bolsonaro/211857482296579_1475667249248923/1475667249248923_1475673585914956,50607,4,2,1475667249248923_1475673585914956,data,fetched (200),2020-05-29 13:17:59.734665,Facebook:/<post-id>/comments,voce e demais bolsonaro  eu como professora de educacao infantil fico muito feliz que tenha amor pelas nossas criancas ,2019-06-03T02:23:30+0000,2550.0,232.0,
50596,jairmessias.bolsonaro/211857482296579_1475667249248923/1475667249248923_1475670919248556,50601,4,2,1475667249248923_1475670919248556,data,fetched (200),2020-05-29 13:17:59.734665,Facebook:/<post-id>/comments,bolsonaroooo minha familia nao fala mas comigo porque votei no senhor   17 votarei de novo em 2022 que orgulho do senhor presidente,2019-06-03T02:21:56+0000,2268.0,256.0,
50612,jairmessias.bolsonaro/211857482296579_1475667249248923/1475667249248923_1475668432582138,50617,4,2,1475667249248923_1475668432582138,data,fetched (200),2020-05-29 13:17:59.734665,Facebook:/<post-id>/comments,pesquisa rapida   satisfeito  votaria novamente  insatisfeito,2019-06-03T02:20:16+0000,2153.0,5056.0,
25409,jairmessias.bolsonaro/211857482296579_1663830393765940/1663830393765940_255677298736973,25415,3,2,1663830393765940_255677298736973,data,fetched (200),2020-05-29 13:11:48.936395,Facebook:/<post-id>/comments,continuaremos ao seu lado sempre   presidente ,2019-11-12T23:29:23+0000,2012.0,187.0,
50614,jairmessias.bolsonaro/211857482296579_1475667249248923/1475667249248923_1257031454472251,50619,4,2,1475667249248923_1257031454472251,data,fetched (200),2020-05-29 13:18:00.039848,Facebook:/<post-id>/comments,tenho 37 anos de idade e ate hoje em todos esses anos de vida que deus tem mim concedido nunca vir na estoria do brasil um presidente honesto de carater simples com tanta humildade igual temos visto ja durante esses cinco meses  analisando tudo isso vejo com todo conviccao que nunca em toda minha vida votei tao certo  sem duvida meu voto e meu esforco nas minhas redes sociais em apoio a esse grande homem meu presidente tem valido muito apena  sem duvida vc nos representa ,2019-06-03T02:43:42+0000,1870.0,649.0,
3,jairmessias.bolsonaro/211857482296579_1467409400074708/1467409400074708_318935885667777,10,2,2,1467409400074708_318935885667777,data,fetched (200),2020-05-29 13:05:21.228035,Facebook:/<post-id>/comments,sua formatura de espadim 1977 capitao reliquia hein   rsrs,2019-05-25T23:17:36+0000,1849.0,196.0,
75703,jairmessias.bolsonaro/211857482296579_1370373509778298/1370373509778298_1370377186444597,75707,5,2,1370373509778298_1370377186444597,data,fetched (200),2020-05-29 13:24:02.054187,Facebook:/<post-id>/comments,forca presidente  o brasil esta contigo ,2019-02-09T15:35:37+0000,1754.0,57.0,
