,path,id,parent_id,level,object_id,object_type,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
16589,211857482296579_1634149506734029/211857482296579_1375671095915206/1375671095915206_243953793212755,16595,3,2,1375671095915206_243953793212755,data,fetched (200),2020-06-02 20:24:20.864497,Facebook:/<post-id>/comments,descobre ate  a falsificacao da camiseta do presidente bolsonaro mais nao descobre quem  mandou matar bolsonaro  ,2019-02-14T23:35:22+0000,12032.0,1069.0,
107369,jairmessias.bolsonaro/211857482296579_1375671095915206/1375671095915206_1375672269248422,35352,3,2,1375671095915206_1375672269248422,data,fetched (200),2020-06-02 20:29:15.751704,Facebook:/<post-id>/comments,quem ai acha que o bolsonaro e o melhor presidente curte   ,2019-02-14T23:17:46+0000,9265.0,2185.0,
88630,jairmessias.bolsonaro/211857482296579_1375671095915206/1375671095915206_2395516543792705,16613,3,2,1375671095915206_2395516543792705,data,fetched (200),2020-06-02 20:24:20.864497,Facebook:/<post-id>/comments,votacao rapida  se arrependeu de votar no jair bolsonaro      nao me arrependo     nao  votaria novamente     nunca irei votar nele     me arrependi     nao votei  mas arrependi,2019-02-14T23:21:15+0000,9188.0,2338.0,
35373,211857482296579_1634149506734029/211857482296579_1364988146983501/1364988146983501_1364996313649351,35378,4,2,1364988146983501_1364996313649351,data,fetched (200),2020-06-02 20:29:17.006333,Facebook:/<post-id>/comments,   prender lula    eleger bolsonaro    derrotar renan         limpar stf         fechar a globo,2019-02-03T23:33:20+0000,9059.0,1163.0,
136335,jairmessias.bolsonaro/211857482296579_1466315963517385/1466315963517385_1466321356850179,64315,7,2,1466315963517385_1466321356850179,data,fetched (200),2020-06-02 20:36:31.163162,Facebook:/<post-id>/comments,se a bacteria reage e porque o remedio esta fazendo efeito  bolsonaro 2022,2019-05-24T21:03:13+0000,5302.0,189.0,
136331,jairmessias.bolsonaro/211857482296579_1411377829011199/1411377829011199_1411382655677383,64312,5,2,1411377829011199_1411382655677383,data,fetched (200),2020-06-02 20:36:29.979237,Facebook:/<post-id>/comments,proxima manchete   bolsonaro leva bolo de aniversario que sobrou em pote de sorvete pra casa ,2019-03-29T17:25:44+0000,5225.0,581.0,
16601,211857482296579_1634149506734029/211857482296579_1375671095915206/1375671095915206_1375672709248378,16607,3,2,1375671095915206_1375672709248378,data,fetched (200),2020-06-02 20:24:20.864497,Facebook:/<post-id>/comments,do preco que estao as originais  ta certinho  nem presidente da conta de comprar,2019-02-14T23:18:02+0000,4172.0,78.0,
72025,jairmessias.bolsonaro/211857482296579_1634149506734029/1634149506734029_550471549020436,9,2,2,1634149506734029_550471549020436,data,fetched (200),2020-06-02 20:20:10.081895,Facebook:/<post-id>/comments,ao contrario de outros que levavam cachaca na bagagem    nosso presidente e o cara     ,2019-10-23T13:13:44+0000,2809.0,291.0,
107391,jairmessias.bolsonaro/211857482296579_1364988146983501/1364988146983501_1364991576983158,35373,4,2,1364988146983501_1364991576983158,data,fetched (200),2020-06-02 20:29:17.006333,Facebook:/<post-id>/comments,adorei a sua resposta presidente bolsonaro  kkkkkk,2019-02-03T23:32:14+0000,2673.0,59.0,
124872,jairmessias.bolsonaro/211857482296579_1411377829011199/1411377829011199_1411379432344372,52853,5,2,1411377829011199_1411379432344372,data,fetched (200),2020-06-02 20:33:35.851615,Facebook:/<post-id>/comments,na europa e particularmente na australia isso se chama respeito ao tempo do anfitriao ,2019-03-29T17:24:14+0000,2581.0,111.0,
