,path,id,parent_id,level,object_id,object_type,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
3735,211857482296579_1491072611041720/211857482296579_1339896379492678/1339896379492678_1339896779492638,3741,3,2,1339896379492678_1339896779492638,data,fetched (200),2020-05-29 14:54:29.554281,Facebook:/<post-id>/comments,importante sempre que possivel frisarmos a necessidade de conversar com seu deputado ou senador da necessidade de se aprovar leis que permitam que as forcas de seguranca publica possam atuar para efetivamente combatermos os criminosos que aterrorizam os cidadaos de bem no brasil ,2019-01-05T00:43:45+0000,8972.0,1695.0,
52347,jairmessias.bolsonaro/211857482296579_1491072611041720/1491072611041720_1491085351040446,11,2,2,1491072611041720_1491085351040446,data,fetched (200),2020-05-29 14:53:37.081535,Facebook:/<post-id>/comments,presidente  isso e loucura  pelo amor de deus pare com isso  e muito arriscado    deus lhe deu um livramento mas nao o tornou imortal  estamos sempre orando pela sua vida  mas faca sua parte   ,2019-06-16T21:44:38+0000,5594.0,337.0,
10649,211857482296579_1491072611041720/211857482296579_1528915783924069/1528915783924069_122103755736392,10654,5,2,1528915783924069_122103755736392,data,fetched (200),2020-05-29 14:56:06.152813,Facebook:/<post-id>/comments,nao se preocupe meu presidente  o nosso exercito brasileiro ja esta aqui desde ontem para fazer a sua seguranca merecida ,2019-07-23T11:37:29+0000,5184.0,417.0,
62993,jairmessias.bolsonaro/211857482296579_1528915783924069/1528915783924069_115777066390456,10655,5,2,1528915783924069_115777066390456,data,fetched (200),2020-05-29 14:56:06.152813,Facebook:/<post-id>/comments,presidente  nestes casos melhor acionar sempre a guarda nacional  os governadores opostos ao seu governo  mesmo beneficiando sua gente torcem que algo mal lhe aconteca  fica a dica  parabens por mais esta obra  que deus lhe proteja ,2019-07-23T12:37:11+0000,5060.0,445.0,
10658,211857482296579_1491072611041720/211857482296579_1528915783924069/1528915783924069_1528930970589217,10663,5,2,1528915783924069_1528930970589217,data,fetched (200),2020-05-29 14:56:06.152813,Facebook:/<post-id>/comments,de certa forma  isso e muito bom  bolsonaro  chegou a hora de o brasil pensar no federalismo  onde cada estado gasta o que gera de grana ,2019-07-23T11:32:09+0000,3079.0,357.0,
10654,211857482296579_1491072611041720/211857482296579_1528915783924069/1528915783924069_1528926850589629,10659,5,2,1528915783924069_1528926850589629,data,fetched (200),2020-05-29 14:56:06.152813,Facebook:/<post-id>/comments,covardia e uma caracteristica essencial da personalidade de um petista,2019-07-23T11:30:55+0000,2945.0,192.0,
52348,jairmessias.bolsonaro/211857482296579_1491072611041720/1491072611041720_675797952834176,12,2,2,1491072611041720_675797952834176,data,fetched (200),2020-05-29 14:53:37.081535,Facebook:/<post-id>/comments,dizem que sao varios drones cal 762 com mira lazer fazendo a varredura antes do presidente passar  registrando pessoas e placas de veiculos  tecnologia israelenae  show,2019-06-16T21:47:40+0000,2705.0,149.0,
76787,jairmessias.bolsonaro/211857482296579_1528915783924069/1528915783924069_1528927193922928,24449,5,2,1528915783924069_1528927193922928,data,fetched (200),2020-05-29 14:59:24.747279,Facebook:/<post-id>/comments,maior  e o exercito  que  estar  com  o senhor   o  exercito  de  cristo em  oracao   pela    a  seguranca       sua e  de  seus   familiares   deus  acima de tudo e de todos,2019-07-23T11:31:00+0000,2640.0,217.0,
56090,jairmessias.bolsonaro/211857482296579_1339896379492678/1339896379492678_1339897559492560,3753,3,2,1339896379492678_1339897559492560,data,fetched (200),2020-05-29 14:54:29.554281,Facebook:/<post-id>/comments,sou do interior do ceara e votei bolsonaro com muito orgulho,2019-01-05T00:44:32+0000,1561.0,40.0,
56104,jairmessias.bolsonaro/211857482296579_1339896379492678/1339896379492678_1339898086159174,3767,3,2,1339896379492678_1339898086159174,data,fetched (200),2020-05-29 14:54:29.833736,Facebook:/<post-id>/comments, o ciro gomes e o melhor pro pais o mais preparado  hahaha,2019-01-05T00:44:52+0000,1311.0,53.0,
52354,jairmessias.bolsonaro/211857482296579_1491072611041720/1491072611041720_317385502542261,18,2,2,1491072611041720_317385502542261,data,fetched (200),2020-05-29 14:53:37.081535,Facebook:/<post-id>/comments,aqui no sul ele e bem vindo  e todos ali protegeriam ele com a propria vida  os gauchos sao um povo destemidos  e acolhedor ,2019-06-16T22:40:14+0000,1240.0,108.0,
98919,jairmessias.bolsonaro/211857482296579_1345806502234999/1345806502234999_1002583959939952,46579,7,2,1345806502234999_1002583959939952,data,fetched (200),2020-05-29 15:04:35.391169,Facebook:/<post-id>/comments,so faltou o oculos  mas valeu  nos te perdoamos ,2019-01-11T23:32:19+0000,1183.0,32.0,
9,211857482296579_1491072611041720/1491072611041720_1491086697706978/1491072611041720_1491076271041354,16,2,2,1491072611041720_1491076271041354,data,fetched (200),2020-05-29 14:53:37.081535,Facebook:/<post-id>/comments,ola presidente bolsonaro meu nome e dalton roberto vieira e moro em joinville usei crack 18 anos e hoje faco tratamento no caps e nao uso drogas venci o vicio hoje cuido de minha mae pois ela e cadeirante e nao posso trabalhar pois tenho que ficar do lado dela direto pois ela nao pode andar e precisa de mim sempre eu consegui terminar meu segundo grau mas nao consigo passar no enem gostaria muito de fazer uma faculdade de enfermagem mas nao tenho como pagar por favor me deem uma ajuda para fazer esta faculdade estou me preparando para trabalhar nos bombeiros voluntarios de joinville meu sonho e ser socorristas e trabalhar no samu junto com a nova faze do brasil eu tambem mudei e com essa faculdade melhorar minha vida e a vida das pessoas ao meu redor abracos,2019-06-16T21:40:53+0000,1175.0,267.0,
3816,211857482296579_1491072611041720/211857482296579_1339896379492678/1339896379492678_1339897506159232,3822,3,2,1339896379492678_1339897506159232,data,fetched (200),2020-05-29 14:54:30.523210,Facebook:/<post-id>/comments,coloca o lula pra segurar ja que os cearences gostam tanto dele,2019-01-05T00:44:30+0000,959.0,190.0,
25,211857482296579_1491072611041720/1491072611041720_1491086697706978/1491072611041720_449646085597702,32,2,2,1491072611041720_449646085597702,data,fetched (200),2020-05-29 14:53:37.081535,Facebook:/<post-id>/comments,presidente bolsonaro o senhor e muito amado   mas  tome  cuidado sempre tem pessoas de ma indole  no meio da populacao de bem que deus te proteja ,2019-06-16T21:49:21+0000,876.0,14.0,
63007,jairmessias.bolsonaro/211857482296579_1528915783924069/1528915783924069_122099215736846,10669,5,2,1528915783924069_122099215736846,data,fetched (200),2020-05-29 14:56:06.152813,Facebook:/<post-id>/comments,se tornou inimigo de quem nao quer ver o bem do brasil   deus o abencoe grandemente nessa jornada ,2019-07-23T11:32:52+0000,859.0,21.0,
56085,jairmessias.bolsonaro/211857482296579_1339896379492678/1339896379492678_1339901506158832,3748,3,2,1339896379492678_1339901506158832,data,fetched (200),2020-05-29 14:54:29.554281,Facebook:/<post-id>/comments,isso e brasil ou japao    kkkk  e isso ai presidente  ja esta nos enchendo de orgulho ,2019-01-05T00:46:44+0000,837.0,8.0,
3749,211857482296579_1491072611041720/211857482296579_1339896379492678/1339896379492678_1339897526159230,3755,3,2,1339896379492678_1339897526159230,data,fetched (200),2020-05-29 14:54:29.554281,Facebook:/<post-id>/comments,ensina o prefeito de sao paulo  ele demorou uma decada pra fazer o escoramento do viaduto aqui,2019-01-05T00:44:31+0000,828.0,51.0,
30550,211857482296579_1491072611041720/211857482296579_1620938328055147/1620938328055147_136697894384523,30554,6,2,1620938328055147_136697894384523,data,fetched (200),2020-05-29 15:00:51.650119,Facebook:/<post-id>/comments,olhando rapido podia jurar que era nos eua  fico muito feliz em ver nosso querido brasil nos trilhos novamente ,2019-10-13T18:13:40+0000,817.0,56.0,
56084,jairmessias.bolsonaro/211857482296579_1339896379492678/1339896379492678_1339904886158494,3747,3,2,1339896379492678_1339904886158494,data,fetched (200),2020-05-29 14:54:29.554281,Facebook:/<post-id>/comments,que bom que o ciro gomes  resolveu o problema da violencia no ceara  nao pera ,2019-01-05T00:48:20+0000,808.0,18.0,
82895,jairmessias.bolsonaro/211857482296579_1620938328055147/1620938328055147_1620951041387209,30556,6,2,1620938328055147_1620951041387209,data,fetched (200),2020-05-29 15:00:51.650119,Facebook:/<post-id>/comments,parabens tem que recuperar nossa malha ferroviaria aqui no sul tambem ,2019-10-13T18:11:30+0000,797.0,66.0,
30546,211857482296579_1491072611041720/211857482296579_1620938328055147/1620938328055147_136699497717696,30550,6,2,1620938328055147_136699497717696,data,fetched (200),2020-05-29 15:00:51.650119,Facebook:/<post-id>/comments,parabens presidente lindo voltando as raizes sei q e somente trem de cargas mais voltei ao tempo e me lembrei dos tempos e q meu pai viajavam os pra minas gerais de trem eita bons tempos esse agora me bateu sddes q jesus na sua infinita bondade lhe abencoe grandemente meupresidente e lhe cubra de bencaos  vce e sua familia estamos confiantes ,2019-10-13T18:16:16+0000,783.0,74.0,
23,211857482296579_1491072611041720/1491072611041720_1491086697706978/1491072611041720_1491080197707628,30,2,2,1491072611041720_1491080197707628,data,fetched (200),2020-05-29 14:53:37.081535,Facebook:/<post-id>/comments,sua popularidade esta caindo a cada dia ne presidente  so que nao     o brasil te ama ,2019-06-16T21:42:30+0000,777.0,21.0,
52349,jairmessias.bolsonaro/211857482296579_1491072611041720/1491072611041720_1491077631041218,13,2,2,1491072611041720_1491077631041218,data,fetched (200),2020-05-29 14:53:37.081535,Facebook:/<post-id>/comments,ta parecendo uma cena do trailer da nova serie da netflix  the walking mito,2019-06-16T21:41:22+0000,755.0,43.0,
24,211857482296579_1491072611041720/1491072611041720_1491086697706978/1491072611041720_1491086761040305,31,2,2,1491072611041720_1491086761040305,data,fetched (200),2020-05-29 14:53:37.081535,Facebook:/<post-id>/comments,  moro    lava jato    bolsonaro    paulo guedes    deltan dellagnol    brasil,2019-06-16T21:45:15+0000,749.0,32.0,
56087,jairmessias.bolsonaro/211857482296579_1339896379492678/1339896379492678_1339900162825633,3750,3,2,1339896379492678_1339900162825633,data,fetched (200),2020-05-29 14:54:29.554281,Facebook:/<post-id>/comments,isso e terrorismo e deve ser qualificado como tal   ,2019-01-05T00:46:05+0000,745.0,18.0,
3743,211857482296579_1491072611041720/211857482296579_1339896379492678/1339896379492678_1339897536159229,3749,3,2,1339896379492678_1339897536159229,data,fetched (200),2020-05-29 14:54:29.554281,Facebook:/<post-id>/comments,esperando o ciro receber o pessoal do moro na bala agora   ,2019-01-05T00:44:32+0000,676.0,33.0,
98914,jairmessias.bolsonaro/211857482296579_1345806502234999/1345806502234999_778348112511685,46574,7,2,1345806502234999_778348112511685,data,fetched (200),2020-05-29 15:04:35.391169,Facebook:/<post-id>/comments,senhor presidente nunca te pedi nada  mas mande fechar as fronteiras que e pra gleisi hofman nao voltar pro brasil  obrigada de nada ,2019-01-12T00:37:01+0000,653.0,95.0,
62994,jairmessias.bolsonaro/211857482296579_1528915783924069/1528915783924069_1528921017256879,10656,5,2,1528915783924069_1528921017256879,data,fetched (200),2020-05-29 14:56:06.152813,Facebook:/<post-id>/comments,nos de vitoria da conquista estamos aqui para te receber de bracos abertos   quanto ao governador deste nao pode se esperar muita coisa   ele e orientado por um presidiario,2019-07-23T11:29:10+0000,641.0,46.0,
63012,jairmessias.bolsonaro/211857482296579_1528915783924069/1528915783924069_122099502403484,10674,5,2,1528915783924069_122099502403484,data,fetched (200),2020-05-29 14:56:06.152813,Facebook:/<post-id>/comments,boa viagem meu presidente e desde ja agradeco sua compreensao e sua vinda aqui no nosso estado do maranhao ,2019-07-23T11:33:07+0000,640.0,24.0,
46572,211857482296579_1491072611041720/211857482296579_1345806502234999/1345806502234999_1345808432234806,46575,7,2,1345806502234999_1345808432234806,data,fetched (200),2020-05-29 15:04:35.391169,Facebook:/<post-id>/comments,jair  assina logo esse decreto de flexibilizacao da posse de arma  quero aposentar logo minha vassoura que e o que pego quando escuto um barulho no quintal durante a madrugada  uma espingarda e uma pistola sera melhor    valeu ,2019-01-11T23:13:24+0000,612.0,73.0,
3745,211857482296579_1491072611041720/211857482296579_1339896379492678/1339896379492678_130845951275072,3751,3,2,1339896379492678_130845951275072,data,fetched (200),2020-05-29 14:54:29.554281,Facebook:/<post-id>/comments,estamos sitiados aqui em fortaleza  ha anos que as faccoes tomaram conta da nossa cidade  estamos entre as 10 cidades mais violentas do mundo  vivemos uma era de terror   finalmente hoje a  ajuda chegou  e agora temos esperanca de vivermos dias melhores  obrigada ao min sergio moro e ao sr  presidente que prontamente atenderam ao apelo do nosso governador  espero que ele tenha aprendido a diferenca entre partido e a necessidade de seu povo    quanto a rapida e eficiente sustentacao do viaduto  lembrei agora da inundacao da samarco em mariana  a entao presidanta dilma passou 7 dias para sobrevoar a cidade   depois de varias criticas     estamos numa nova era   ,2019-01-05T01:03:11+0000,588.0,49.0,
82902,jairmessias.bolsonaro/211857482296579_1620938328055147/1620938328055147_178214973309097,30563,6,2,1620938328055147_178214973309097,data,fetched (200),2020-05-29 15:00:51.650119,Facebook:/<post-id>/comments,sou filho de ferroviario e neto de ferroviarios  passei minha infancia em um parque ferroviario  nos escritorios de uma ferrovia da rffsa  em minas  vejo com imensa alegria os trens voltando a circular  quantos camonhoes estao nesse comboio  quanto diesel nao esta  sendo economizado  quantos acidentes de transito nao estao sendo evitados  quanta economia nao esta  sendo feita  quanto progresso esta  sendo construido  obrigado  sr  presidente e  ao mesmo tempo  parabens por tornar possivel os sonhos patriotas dos brasileiros que amam o brasil acima de tudo   ,2019-10-13T18:22:56+0000,533.0,62.0,
52350,jairmessias.bolsonaro/211857482296579_1491072611041720/1491072611041720_1491079261041055,14,2,2,1491072611041720_1491079261041055,data,fetched (200),2020-05-29 14:53:37.081535,Facebook:/<post-id>/comments,ta bombando o twitter presidente      o esquema foi desvendado e tem russo na parada,2019-06-16T21:42:03+0000,494.0,158.0,
82884,jairmessias.bolsonaro/211857482296579_1620938328055147/1620938328055147_2280090352211728,30545,6,2,1620938328055147_2280090352211728,data,fetched (200),2020-05-29 15:00:51.650119,Facebook:/<post-id>/comments,secretaria do direito dos animais prometida em agosto   nao abandone aqueles que nao tem voz ,2019-10-13T22:05:14+0000,454.0,269.0,
23718,211857482296579_1491072611041720/211857482296579_1528915783924069/1528915783924069_1528926300589684,23723,5,2,1528915783924069_1528926300589684,data,fetched (200),2020-05-29 14:59:14.612741,Facebook:/<post-id>/comments,sr presidente bolsonaro  equipe e familias  o senhor te abencoe e te guarde  o senhor faca resplandecer o seu rosto sobre ti  e tenha misericordia de ti  o senhor sobre ti levante o seu rosto e te de a paz   numeros 6 24 26 #deusacimadetodos #bolsonarotemrazao,2019-07-23T11:30:45+0000,451.0,23.0,
46573,211857482296579_1491072611041720/211857482296579_1345806502234999/1345806502234999_1345807252234924,46576,7,2,1345806502234999_1345807252234924,data,fetched (200),2020-05-29 15:04:35.391169,Facebook:/<post-id>/comments,dolar caindo mais que o vasco  e isso ai meu presidente  #flamengo  #saudacoesrubronegra,2019-01-11T23:12:29+0000,436.0,48.0,
2,211857482296579_1491072611041720/1491072611041720_1491086697706978/1491072611041720_419262425329181,9,2,2,1491072611041720_419262425329181,data,fetched (200),2020-05-29 14:53:37.081535,Facebook:/<post-id>/comments,tava pesada minha filha presidente  hehehe  ela manda dizer que ama o titio bolsonaro     forte abraco,2019-06-16T23:13:19+0000,410.0,22.0,
63000,jairmessias.bolsonaro/211857482296579_1528915783924069/1528915783924069_1528929713922676,10662,5,2,1528915783924069_1528929713922676,data,fetched (200),2020-05-29 14:56:06.152813,Facebook:/<post-id>/comments,pensei que o presidente fosse autoridade maxima aqui no brasil    lamentavel ver a falta de respeito que o brasileiro tem  para com uma autoridade como um presidente  que deus lhe guarde que nao seja uma emboscada    ,2019-07-23T11:31:46+0000,397.0,130.0,
98926,jairmessias.bolsonaro/211857482296579_1345806502234999/1345806502234999_1345808178901498,46586,7,2,1345806502234999_1345808178901498,data,fetched (200),2020-05-29 15:04:35.391169,Facebook:/<post-id>/comments,mas o governo bolsonaro esta pessimo    disse o enzo  19 anos   faculdade federal  primeiro ano no curso de humanas  maconheiro mora com a mae e nao trabalha,2019-01-11T23:13:16+0000,368.0,29.0,
46589,211857482296579_1491072611041720/211857482296579_1345806502234999/1345806502234999_1345807448901571,46592,7,2,1345806502234999_1345807448901571,data,fetched (200),2020-05-29 15:04:35.391169,Facebook:/<post-id>/comments,isso e o efeito de um otimo governo e um futuro que sera prospero ,2019-01-11T23:12:42+0000,359.0,5.0,
10,211857482296579_1491072611041720/1491072611041720_1491086697706978/1491072611041720_1491078704374444,17,2,2,1491072611041720_1491078704374444,data,fetched (200),2020-05-29 14:53:37.081535,Facebook:/<post-id>/comments,so acho que o senhor anda muito teimoso  ha   chega me da palpitacao vendo isso ,2019-06-16T21:41:50+0000,353.0,28.0,
82883,jairmessias.bolsonaro/211857482296579_1620938328055147/1620938328055147_1620942524721394,30544,6,2,1620938328055147_1620942524721394,data,fetched (200),2020-05-29 15:00:51.650119,Facebook:/<post-id>/comments,parabens presidente  meus respeitos de um engenheiro  civil filho de ferroviario que tb acha que precisamos de ferrovias ja trabalhei inclusive na fns,2019-10-13T18:07:49+0000,336.0,15.0,
62995,jairmessias.bolsonaro/211857482296579_1528915783924069/1528915783924069_1528918443923803,10657,5,2,1528915783924069_1528918443923803,data,fetched (200),2020-05-29 14:56:06.152813,Facebook:/<post-id>/comments,absurda essa decisao  quando precisarem da forca nacional faca o mesmo ,2019-07-23T11:28:22+0000,290.0,37.0,
3736,211857482296579_1491072611041720/211857482296579_1339896379492678/1339896379492678_130841564608844,3742,3,2,1339896379492678_130841564608844,data,fetched (200),2020-05-29 14:54:29.554281,Facebook:/<post-id>/comments,vendo replica da caneta utilizada na posse do presidente jair bolsonaro r  100 00  obs  nao disponivel na cor vermelha  ,2019-01-05T00:54:57+0000,285.0,113.0,
8,211857482296579_1491072611041720/1491072611041720_1491086697706978/1491072611041720_1491082444374070,15,2,2,1491072611041720_1491082444374070,data,fetched (200),2020-05-29 14:53:37.081535,Facebook:/<post-id>/comments,n vacila capitao  cuidado  um atentato ja esta demais  chega    precisamos de vc,2019-06-16T21:43:29+0000,283.0,24.0,
46575,211857482296579_1491072611041720/211857482296579_1345806502234999/1345806502234999_1345807005568282,46578,7,2,1345806502234999_1345807005568282,data,fetched (200),2020-05-29 15:04:35.391169,Facebook:/<post-id>/comments,meu presidente como e  dificil comentar primeiro por aqui viu    ,2019-01-11T23:12:15+0000,282.0,9.0,
52388,jairmessias.bolsonaro/211857482296579_1491072611041720/1491072611041720_1491076244374690,52,2,2,1491072611041720_1491076244374690,data,fetched (200),2020-05-29 14:53:37.483733,Facebook:/<post-id>/comments,parece filme de apocalipse zumbi,2019-06-16T21:40:52+0000,250.0,50.0,
75582,jairmessias.bolsonaro/211857482296579_1528915783924069/1528915783924069_154842292353426,23244,5,2,1528915783924069_154842292353426,data,fetched (200),2020-05-29 14:59:08.215308,Facebook:/<post-id>/comments,que o nosso deus coloque os seus anjos e te proteja de todos os males   meu presidente   fica bem atento   pq tem muitos que nao estao satisfeitos com os resultados positivos que o senhor vem proporcionando ao brasil   estamos com o senhor e cuidado com alguns falsos que andam do seu lado   que deus te abencoe   tmjs ,2019-07-23T11:33:28+0000,243.0,27.0,
10655,211857482296579_1491072611041720/211857482296579_1528915783924069/1528915783924069_462044264578051,10660,5,2,1528915783924069_462044264578051,data,fetched (200),2020-05-29 14:56:06.152813,Facebook:/<post-id>/comments,moro em vitoria da conquista  e o pt comandou a prefeitura durante 20 anos  e em 2018 conseguimos mudar  gracas a deus   tenho um filho de 11 anos que estava ansioso para ver o nosso presidente  mas acho prudente a inauguracao ser reservada  deus abencoe o bolsonaro   que ele olhe por todos e tente unificar esse nosso brasil  ,2019-07-23T11:50:23+0000,234.0,11.0,
56094,jairmessias.bolsonaro/211857482296579_1339896379492678/1339896379492678_2684318634928056,3757,3,2,1339896379492678_2684318634928056,data,fetched (200),2020-05-29 14:54:29.554281,Facebook:/<post-id>/comments,o nome disso e terrorismo ,2019-01-05T01:43:53+0000,233.0,8.0,
10656,211857482296579_1491072611041720/211857482296579_1528915783924069/1528915783924069_1528923097256671,10661,5,2,1528915783924069_1528923097256671,data,fetched (200),2020-05-29 14:56:06.152813,Facebook:/<post-id>/comments,uma verdadeira infantilidade do nosso governador  ruy costa  a policia militar  nao e patrimonio dele  e sim da populacao  esta briguinha ridicula de esquerda x direita no brasil  ja passou do limite  o nordeste tambem e brasil  mas tem gente aqui que nos envergonha demais  um boa viagem presidente  seja bem vindo em nossa cidade ,2019-07-23T11:29:45+0000,219.0,35.0,
82885,jairmessias.bolsonaro/211857482296579_1620938328055147/1620938328055147_1620953011387012,30546,6,2,1620938328055147_1620953011387012,data,fetched (200),2020-05-29 15:00:51.650119,Facebook:/<post-id>/comments,parabens grande presidente sempre falo nas sessoes de vereador  voce fez as pessoas a voltar a acreditar na politica  esta fazendo as pessoas e grandes empresas acreditar no brasil ,2019-10-13T18:12:23+0000,213.0,27.0,
10660,211857482296579_1491072611041720/211857482296579_1528915783924069/1528915783924069_2791474204215439,10665,5,2,1528915783924069_2791474204215439,data,fetched (200),2020-05-29 14:56:06.152813,Facebook:/<post-id>/comments,pode deixar capitao nos faremos a sua seguranca o povo do bem esta aqui pra te receber de bracos abertos,2019-07-23T11:41:38+0000,212.0,7.0,
82900,jairmessias.bolsonaro/211857482296579_1620938328055147/1620938328055147_1620950648053915,30561,6,2,1620938328055147_1620950648053915,data,fetched (200),2020-05-29 15:00:51.650119,Facebook:/<post-id>/comments,presidente volta os trens para passageiros tambem   qdo era crianca   fui da minha cidade para sp e eu nunca vou me esquecer dessa viagem   marcou muito minha infancia,2019-10-13T18:11:20+0000,199.0,26.0,
63014,jairmessias.bolsonaro/211857482296579_1528915783924069/1528915783924069_1528922980590016,10676,5,2,1528915783924069_1528922980590016,data,fetched (200),2020-05-29 14:56:06.152813,Facebook:/<post-id>/comments,cuidado capitao  pode ter armadilha contra sua vida  que deus o proteja e guarde de todo mal  em oracao por sua vida,2019-07-23T11:29:42+0000,185.0,31.0,
62996,jairmessias.bolsonaro/211857482296579_1528915783924069/1528915783924069_122100429070058,10658,5,2,1528915783924069_122100429070058,data,fetched (200),2020-05-29 14:56:06.152813,Facebook:/<post-id>/comments,problema nao presidente   o povo da bahia sabe das suas virtudes e do seu carater   deus estara sempre com o sr ,2019-07-23T11:33:52+0000,181.0,28.0,
19,211857482296579_1491072611041720/1491072611041720_1491086697706978/1491072611041720_1491086044373710,26,2,2,1491072611041720_1491086044373710,data,fetched (200),2020-05-29 14:53:37.081535,Facebook:/<post-id>/comments,pelo amor de deus meu presidente tome cuidado     parecem formigas   me assustou tem ideia de quando o senhor e importante para nos    se cuide,2019-06-16T21:44:56+0000,181.0,3.0,
30545,211857482296579_1491072611041720/211857482296579_1620938328055147/1620938328055147_1620943998054580,30549,6,2,1620938328055147_1620943998054580,data,fetched (200),2020-05-29 15:00:51.650119,Facebook:/<post-id>/comments,parabens ao melhor presidente que o brasil ja teve  ,2019-10-13T18:08:28+0000,175.0,34.0,
23228,211857482296579_1491072611041720/211857482296579_1528915783924069/1528915783924069_1528927783922869,23233,5,2,1528915783924069_1528927783922869,data,fetched (200),2020-05-29 14:59:07.852807,Facebook:/<post-id>/comments,deus vai na frente cuidando de tudo presidente jesus tem muito amor pelo senhor e pelo brasil,2019-07-23T11:31:10+0000,174.0,6.0,
98921,jairmessias.bolsonaro/211857482296579_1345806502234999/1345806502234999_1345809758901340,46581,7,2,1345806502234999_1345809758901340,data,fetched (200),2020-05-29 15:04:35.391169,Facebook:/<post-id>/comments,imagina as moedas das olimpiadas que o povo guardou para colecionar ,2019-01-11T23:14:09+0000,174.0,87.0,
52359,jairmessias.bolsonaro/211857482296579_1491072611041720/1491072611041720_458922811550743,23,2,2,1491072611041720_458922811550743,data,fetched (200),2020-05-29 14:53:37.081535,Facebook:/<post-id>/comments,o povo ta  acreditando muito no seu trabalho por isso nao  nos decepcione por favor presidente ,2019-06-16T21:47:20+0000,169.0,23.0,
98922,jairmessias.bolsonaro/211857482296579_1345806502234999/1345806502234999_1345808395568143,46582,7,2,1345806502234999_1345808395568143,data,fetched (200),2020-05-29 15:04:35.391169,Facebook:/<post-id>/comments,eu acredito no nosso sucesso  sucesso de todos os brasileiros  incluindo a torcida do contra  vai brasil  ,2019-01-11T23:13:24+0000,157.0,3.0,
