,language,id,text,resultado,situacao,cat_id,cat_nome
0,pt,50596,nunca em toda minha vida conheci um presidente tao humilde quanto o senhor  tenho 17 anos e 2018 foi meu primeiro voto para presidente  e nunca me senti tao orgulhoso  presidente  vc e o cara   ,0.508195877075195,Neutro,1,Curtir
1,pt,75709,ao sair descubra quem mandou mata lo  nao e vinganca  e justica  e o brasil espera por isso  continuo em oracao pelo seu restabelecimento ,0.44884908199310297,Neutro,1,Curtir
2,pt,82639,senhor presidente jair bolsonaro   transforme os hospitais federais em hospitais de excelencia igual ao hospital albert einstein   os brasileiros e as brasileiras merecem qualidades nos atendimentos medicos  farmaceuticos e tudo mais que e oferecido no hospital albert einstein ,0.321233719587326,Neutro,1,Curtir
3,pt,75685,nao vejo a hora de ver nosso presidente comendo aquele churrasco   ,0.701620221138,Positivo,1,Curtir
4,pt,75708,o teu sofrimento nao sera em vao    nos seremos eternamente gratos pelo seu calvario por nos e pelo brasil,0.134057730436325,Negativo,1,Curtir
5,pt,25427,presidente assim que estiver formado o partido em todos os estados eu e meu esposo iremos nos filiar  nunca fomos filiados a nenhum partido mas estamos de maos dadas contigo  deus lhe abencoe   ,0.298369199037552,Negativo,1,Curtir
6,pt,50615,amanha vai ser noticia presidente bolsonaro sequestrou criancas e fez churrasquinho delas ,0.513644456863403,Neutro,1,Curtir
7,pt,50607,voce e demais bolsonaro  eu como professora de educacao infantil fico muito feliz que tenha amor pelas nossas criancas ,1.0,Positivo,1,Curtir
8,pt,50601,bolsonaroooo minha familia nao fala mas comigo porque votei no senhor   17 votarei de novo em 2022 que orgulho do senhor presidente,0.303437292575836,Neutro,1,Curtir
9,pt,50617,pesquisa rapida   satisfeito  votaria novamente  insatisfeito,0.514253318309784,Neutro,1,Curtir
10,pt,25415,continuaremos ao seu lado sempre   presidente ,0.537270486354828,Neutro,1,Curtir
11,pt,50619,tenho 37 anos de idade e ate hoje em todos esses anos de vida que deus tem mim concedido nunca vir na estoria do brasil um presidente honesto de carater simples com tanta humildade igual temos visto ja durante esses cinco meses  analisando tudo isso vejo com todo conviccao que nunca em toda minha vida votei tao certo  sem duvida meu voto e meu esforco nas minhas redes sociais em apoio a esse grande homem meu presidente tem valido muito apena  sem duvida vc nos representa ,0.616279065608978,Neutro,1,Curtir
12,pt,10,sua formatura de espadim 1977 capitao reliquia hein   rsrs,0.744506001472473,Positivo,1,Curtir
13,pt,75707,forca presidente  o brasil esta contigo ,0.5759782791137701,Neutro,1,Curtir
14,pt,25426,alguem sabe o horario do sepultamento do psl ,0.480779200792313,Neutro,1,Curtir
15,pt,50600,oooo lula posso ir na sua casa     nao companherinho la e muito apertado  nem o sol da para ver nascer kkkkk pega a visao ai vitor hugo,0.203786104917526,Negativo,1,Curtir
16,pt,75703,saude presidente   confiamos no seu trabalho   deus acima de tudo,0.897028088569641,Positivo,1,Curtir
17,pt,75705,forca capitao e presidente  o brasil precisa de vc   deus o abencoe ,0.567984700202942,Neutro,1,Curtir
18,pt,75700,meu presidente e honesto e honrado  o melhor presidente que o brasil tera  firme e forte  deus acima de tudo   ,1.0,Positivo,1,Curtir
19,pt,50616,correcao  residencia bolsonaro ate 2026  no minimo ,0.5,Neutro,1,Curtir
20,pt,25433,por um brasil melhor  estamos juntos  boa sorte e que deus nos abencoe ,1.0,Positivo,1,Curtir
21,pt,25434,o senhor estava precisado experimentar novos ares   agora escolha com sabedoria aqueles que estarao ao seu lado nessa nova caminhada ,0.9158012270927429,Positivo,1,Curtir
22,pt,44123,amamooooos voce  pr   3,0.510645151138306,Neutro,1,Curtir
23,pt,17,casal lindo    conquistou a todos nos  presidente o sr e tudo de bom   mas a sua esposa domina nossa apreciacao   e meiga e especial e divina e abencoada   parabens a ambos,0.8225806355476379,Positivo,1,Curtir
24,pt,25452,estamos juntos pelo brasil ,0.503565728664398,Neutro,1,Curtir
25,pt,25437,parabens presidente  estou junto onde o senhor estiver ,0.569259345531464,Neutro,1,Curtir
26,pt,75697,nao tenho duvidas que ira transformar o brasil em algo jamais visto para o melhor e claro ,0.8789004683494571,Positivo,1,Curtir
27,pt,50613,ah eu amo meu presidente  ainda vou ver ele pessoalmente e tirar uma foto para mostrar aos meus netos e bisnetos que um dia o brasil teve um presidente honesto  humilde e abencoado por deus  ,0.7857142686843871,Positivo,1,Curtir
28,pt,101135,boa noite  obrigada por ser uma pessoa simples e de bom coracao ,1.0,Positivo,1,Curtir
29,pt,101139,boa noite  e uma semana abencoada para o senhor e familia  meu amado presidente  ,1.0,Positivo,1,Curtir
30,pt,25432,vamos nessa presidente  se foi deus que respondeu as suas oracoes  tudo bem  iremos juntos para que possamos ter um brasil bem melhor e mais justo ,0.8846153616905209,Positivo,1,Curtir
31,pt,25444,continua com nosso apoio ,0.8401408195495609,Positivo,1,Curtir
32,pt,75691,com deus no comando de tudo em sua vida  nada e ninguem o impedira de ser o melhor presidente do brasil  que deus pai  deus filho  deus  espirito santo na sa aparecida e todos os anjos e arcanjos celestiais de deus acampam sobre ti e em todos seus familiares   amem  amem  amem  ,0.692307710647583,Neutro,1,Curtir
33,pt,9,eduardo cansou de ser feliz e resolveu ser mais feliz ainda                     jair bolsonaro,1.0,Positivo,1,Curtir
34,pt,50610,me surpreendo cada dia mais com o nosso presidente   deus abencoe nosso presidente  deus abencoe nosso brasil ,0.5753723382949829,Neutro,1,Curtir
35,pt,43,folha de sao paulo  bolsonaro em vez de trabalhar pelo pais  fica indo a casamentos regados de luxuria  so as  langostas  foram mais de 400 mil reais  dizem especialistas  pessoal e uma piada que eu fiz  todos sabemos que a folha e contra o bolsonaro  sou bolsonaro ,0.450503140687943,Neutro,1,Curtir
36,pt,101115,dilma 2014  alemanha 7 x 1 brasil temer 2018  gol contra de fernandinho bolsonaro 2019 ,0.7079825401306149,Positivo,1,Curtir
37,pt,25413,estamos juntos    boa sorte  faca o melhor pelo brasil que tera sempre o nosso apoio ,1.0,Positivo,1,Curtir
38,pt,25424,parabens presidente por reconhecer os que lhes ajudou ate aqui  gratidao e uma chave muito importante pras nossas vitorias  independente do tomada de rumo dos demais  os respeite e bola pra frente ,0.79639732837677,Positivo,1,Curtir
39,pt,25448,estou contigo  meu presidente  abri mao de todas as funcoes que eu exercia no psl para te acompanhar    brasil acima de tudo  deus acima de todos   ,0.655567705631256,Neutro,1,Curtir
40,pt,101116,a tranquilidade de entregar a taca na mao do presidente e saber que ele nao vai rouba la e nem encher de cachaca     ,0.302949488162994,Neutro,1,Curtir
41,pt,25423,a sabedoria de deus o conduziu na melhor decisao ,1.0,Positivo,1,Curtir
42,pt,50597,parabens meu presidente  um dia essa nacao toda ira se orgulhar de ti  assim como eu ja me orgulho  deus nos abencoe ,0.5598436594009399,Neutro,1,Curtir
43,pt,25430,parabens pela sabia decisao   aonde assino para a criacao do nosso partido   ,0.5910876989364621,Neutro,1,Curtir
44,pt,25425,presidente  que deus abencoe essa nova lideranca   que ismael  o anjo protetor das terras brasileiras  esteja a proteger e intuir para o bom caminho  de prosperidade  fraternidade e progresso do brasil e de todos nos ,0.7857142686843871,Positivo,1,Curtir
45,pt,25440,so falta o numero,0.211744368076324,Negativo,1,Curtir
46,pt,25471,ameiiiii nome divino ,0.813496887683868,Positivo,1,Curtir
47,pt,25460,tmj ,0.531063079833984,Neutro,1,Curtir
48,pt,26552,eu sugiro que o nome do partido seja   brasil acima de tudo  deus acima de todos ,0.6951744556426999,Neutro,1,Curtir
49,pt,25442,parabenizo a iniciativa   novo partido  novo tempo  novos politicos para a eleicao 2020   esperamos candidatos condizentes as proximas eleicoes  torcemos pelo brasil e a mudanca radical deve comecar pelos municipios  com politicos serios e trabalhadores ,0.48161593079567,Neutro,1,Curtir
50,pt,101157,essa foto vai ficar na historia  e uma honra ve o tite se curvando para o nosso querido presidente bolsonaro  kkkkkkkkk ,0.976190447807312,Positivo,1,Curtir
51,pt,20,muitas felicidades aos noivos e que deus os abencoe ricamente  e parabens presidente jair bolsonaro pela bela familia,0.9071125984191891,Positivo,1,Curtir
52,pt,50658,jair messias bolsonaro obrigado por fazer parte da historia do nosso brasil   hoje tenho orgulho de dizer aos meus filhos que podemos voltar a sonhar em um futuro com dignidade e respeito pela familia   #parabenscapitao #2022enoisnovamente ,0.756410241127014,Positivo,1,Curtir
53,pt,25446,estamos com bolsonaro     nao tem como atingir objetivos diferentes fazendo a mesma coisa sempre  temos que acredita na mudanca e acredita em nos mesmo    pois foi a maioria que elegeu a bolsonaro  sendo assim  devemos esta com ele nas empreitadas  e a nossa fiscalizacao do proprio bolsonaro faremos nas urnas  se ele continua com o bom trabalho que esta fazendo concerteza tera nosso voto de novo   ,0.5628338456153871,Neutro,1,Curtir
54,pt,25946,agora sim  um partido a altura do presida  ja nascendo gigante parabens aos integrantes   #aliancapelobrasil ,0.9631317853927609,Positivo,1,Curtir
55,pt,25414,vou me filiar pela primeira fez em um partido onde for eu e meus filhos tbm irao ,0.5970997810363771,Neutro,1,Curtir
56,pt,25419,deus mostrou um novo caminho  um novo rumo   conhecereis a verdade e a verdade vos libertara joao 23  somos unidos e estaremos unidos por um brasil mais justo para todos  serei filiada eu e minha familia  com amor e determinacao  parabens sr  presidente deus o abencoe sempre ,0.71276593208313,Positivo,1,Curtir
57,pt,101137,nem nos meus melhores sonhos imaginei que o brasil  teria um um presidente de verdade  que ama o brasil ama estar pertinho dos brasileiros e que esta elevando o nosso brasil  ao topo obrigado por existir  orgulho  imagem perfeita ,0.756410241127014,Positivo,1,Curtir
58,pt,101121,dilma  7x1 temer  gol contra do fernandinho bolsonaro  campeao ,0.7765178680419921,Positivo,1,Curtir
59,pt,50594,me emocionei muito que coisa linda  deus abencoe a ti e a toda sua familia senhor presidente bolsonaro e essa equipe que trabalha o tempo todo com o senhor fiquei mais feliz em ver que es mesmo um ungido  ,0.756410241127014,Positivo,1,Curtir
60,pt,25443,estou no espirito santo  em cariacica  o que posso fazer para ajudar a se aliar a alianca pelo brasil  estou no aguardo ,0.734319806098938,Positivo,1,Curtir
61,pt,1016,nordeste se levanta em apoio a governo jair bolsonaro  lindos  deus abencoe sempre  tamos juntos ,1.0,Positivo,1,Curtir
62,pt,25421,agora o psl ja era  ja que foi o senhor que carregou o partido inteiro nas costas ,0.4197115302085879,Neutro,1,Curtir
63,pt,75688,deus no controle       amem louvado seja deus vai da tudo certo,0.812268495559692,Positivo,1,Curtir
64,pt,33,lindos  felicidades ao edu  futuro presidente do brasil em 2026 ,1.0,Positivo,1,Curtir
65,pt,101127,a maior virtude de um homem e saber ser humilde quando tudo conspira para arrogancia    parabens continue assim  ,1.0,Positivo,1,Curtir
66,pt,101122,obrigado moca  se nao fosse voce nada disso teria acontecido  muito obrigado  te espero na copa ,0.6530437469482421,Neutro,1,Curtir
67,pt,101129,que show meu presidente  nao ligue para os recalcados  parabens  sua atitude e linda  estamos juntossss,0.8927665948867801,Positivo,1,Curtir
68,pt,50608,esse e o presidente que o brasil precisava   que humildade     deus lhe abencoe ,0.571623861789703,Neutro,1,Curtir
69,pt,25557,mostra tua forca brasil pelas nossas criancas ,0.544982433319092,Neutro,1,Curtir
70,pt,25436,excelente chance de fazer um partido digno   assino para a criacao do partido e posterior filiacao no primeiro dia  ,1.0,Positivo,1,Curtir
71,pt,101123,foi sensacional  presidente   exceto a falta de educacao do tecnico tite   o senhor tem de sobra  o que faltou nele  parabens ,0.310379147529602,Neutro,1,Curtir
72,pt,50606,deus abencoe grandemente o nosso brasil e nosso  presidente e seus ajudantes,0.618028402328491,Neutro,1,Curtir
73,pt,18,lindo casal mas que a bencao de deus seja mais linda sobre voces e a familia ,1.0,Positivo,1,Curtir
74,pt,75711,nosso presidente mito estamos rezando direto pelo sr e pra que maria passe na frente e jesus medico dos medicos opera junto aos medicos vai sair logo do hospital  amanha eu vou deixar um agradecimento pela sua vida na aparecida do norte capitao  ta ,0.332999259233475,Neutro,1,Curtir
75,pt,75689,melhoras capitao  sim  a cara do brasil esta mudando a olhos nus  seguimos na vigilia ,0.531632363796234,Neutro,1,Curtir
76,pt,101134,grande presidente    amei te ver parecia  crianca kkkk obrigada por tudo    mito  vc merece    ,1.0,Positivo,1,Curtir
77,pt,40186,o presidente bolsonaro esta dando o maior exemplo de honestidade ja visto na historia da politica brasileira ao abrir mao de quase r 400 milhoes de fundo partidario do psl para fundar um novo partido  ele mostrou mais uma vez ser um politico diferenciado  dando um tapa na cara da oposicao ,0.685030996799469,Neutro,1,Curtir
78,pt,50621,aiiiii que criancas lindas  parabens pela atitude e humildade nosso querido presidente  que deus o abencoe e proteja sempre ,0.921716213226318,Positivo,1,Curtir
79,pt,19,parabens a familia  casal lindo o nosso presidente e esposa ,1.0,Positivo,1,Curtir
80,pt,75712,com certeza o teremos logo logo conosco dando entrevistas dos feitos em favor do nosso brasil e seu povo fique na certeza do amor de deus para com vc nosso presidente querido  saude   ,0.8030303120613101,Positivo,1,Curtir
81,pt,50598,voce e o cara me representa sem duvidas alguma deus sempre lhe abencoe ,0.440148651599884,Neutro,1,Curtir
82,pt,11,lindo o nosso casal presidencial  felicidades aos noivos  ,1.0,Positivo,1,Curtir
83,pt,75714,come bastante caldo e gelatina pra sarar logo     as pessoas do bem te esperam  o brasil precisa de voce    ,0.9291756153106691,Positivo,1,Curtir
84,pt,50604,parabens mais uma vez por sua simpatia excelencia se o senhor continuar assim sera nosso presidente ate 2060 pois nos precisamos de pessoas com seu carisma e seu amor para com essa nacao    ,0.8030303120613101,Positivo,1,Curtir
85,pt,14,parabens presidente pelo o casamento de seu filho  deus abencoe o casal ,0.7304795980453491,Positivo,1,Curtir
86,pt,25453,desejo que nao exista divergencia no seu partido caro presidente   que aqueles que estejam ao seu redor sejam politicos de bem   com um enorme nivel patriotico e moral   que queiram o brasil acima dos interesses pessoais,0.692916989326477,Neutro,1,Curtir
87,pt,50612,parabens capitao   e essas suas qualidades que nos faz acreditar num brasil melhor    deus acima de tudo ,0.9635446071624759,Positivo,1,Curtir
88,pt,16,lindos    meu presidente  desejo toda  felicidade  do mundo para o casal    deus os abencoe   ,1.0,Positivo,1,Curtir
89,pt,31379,primeira vez que irei me filiar a um partido   tmj  presidente  ,0.590043365955353,Neutro,1,Curtir
90,pt,50623,esse e nosso presidente   cabo frio tem orgulho do senhor,0.624421000480652,Neutro,1,Curtir
91,pt,101125,primeira final de futebol que eu assisto em que os dois maiores idolos do pais estao fora de campo  jair bolsonaro e sergio moro,0.501363098621368,Neutro,1,Curtir
92,pt,75713,forca presidente o brasileiro de bem esta do seu lado  avante brasil ,0.888802707195282,Positivo,1,Curtir
93,pt,75687,aqui em nazare  na galileia     na basilica da anunciacao estamos rezando pelo nosso presidente     e o esperamos aqui em breve ,0.739237189292908,Positivo,1,Curtir
94,pt,25418,votei no sr pela trajetoria e pela esperanca de um pais melhor  ninguem confia em partido  votamos nas pessoas ,0.697396636009216,Neutro,1,Curtir
95,pt,50665,e isso ai presidente alem de ser um otimo presidente mostrou seu lado humano   parabens  capitao  e nao esmoreca  estamos juntos ,0.6152935028076171,Neutro,1,Curtir
96,pt,50627,eita pega q esse cara me surpreendi  q deus seja seu guia   admiro a humildade ,0.5363252162933351,Neutro,1,Curtir
97,pt,50624,diferenciado nosso presidente  parabens pela atitude ,0.5998666286468511,Neutro,1,Curtir
98,pt,13,parabens presidente   pelo casamento de seu filho  muitas bencaos e felicidades aos recem casados ,0.8933881521224979,Positivo,1,Curtir
