,created_time,status_type,type,video_length,message,link,permalink_url,comments_count,shares_count,reactions_count,like_count,love_count,wow_count,haha_count,sad_count,angry_count
0,2019-12-30 15:45:15,added_video,video,01:44,#NOME?,https://www.facebook.com/jairmessias.bolsonaro/videos/441870580101302/,https://www.facebook.com/211857482296579/posts/1724945110987801/,7663.0,18709.0,92429.0,82471.0,8426.0,1149.0,326.0,14.0,43.0
1,2019-12-28 19:37:15,added_video,video,00:39,#NOME?,https://www.facebook.com/jairmessias.bolsonaro/videos/1090806681113830/,https://www.facebook.com/211857482296579/posts/1722770851205227/,2120.0,8068.0,58791.0,53414.0,4050.0,1175.0,104.0,14.0,34.0
2,2019-12-27 15:47:33,added_video,video,15:34,,https://www.facebook.com/jairmessias.bolsonaro/videos/562994224541231/,https://www.facebook.com/jairmessias.bolsonaro/videos/562994224541231/,8231.0,4072.0,47923.0,40766.0,6626.0,122.0,281.0,22.0,106.0
3,2019-12-26 22:00:02,added_video,video,50:58:00,,https://www.facebook.com/jairmessias.bolsonaro/videos/2645151742265882/,https://www.facebook.com/jairmessias.bolsonaro/videos/2645151742265882/,34066.0,14985.0,91223.0,75540.0,13400.0,404.0,533.0,138.0,1208.0
4,2019-12-25 17:06:24,added_video,video,00:26,"- Recebi a demanda de um professor de medicina da Universidade Federal de Roraima, falando dos atoleiros existentes na Rv Porto Velho/Manaus.  - Mesmo sendo Natal acionei o Capitão Tarcísio, Ministro da Infraestrutura. Segue sua resposta:  - ""Essa é a BR-319/AM, que liga Porto Velho a Manaus. Nós fizemos um bom trabalho de manutenção esse ano lá, mas não adianta. Quando chega na chuva, a estrada se deteriora rapidamente.  - Essa estrada foi pavimentada totalmente, foi inaugurada em 1978. Mas o asfalto se perdeu e a dificuldade para uma nova pavimentação reside na licença ambiental.  - Então vamos lá. São duas ações. Uma de curto prazo e outra mais de longo prazo.  - Curto prazo: estamos acionando máquinas do contrato de manutenção para colocar rachão e brita e dar trafegabilidade nas áreas de atoleiro. Isso vai garantir o trânsito no inverno.  - Longo prazo: agora no primeiro trimestre de 2020 vou fazer a licitação para pavimentação dos primeiros 52 km. Enquanto isso estamos fazendo o projeto para os 405 km restantes.  - A licitação do projeto fizemos agora em dezembro. Enquanto fazemos o projeto, estamos trabalhando na licença ambiental. O presidente do IBAMA, que é muito bom, selecionou uma equipe a dedo e está determinado a dar a licença. Com a licença, contrato a obra do trecho todo.""  - Ministro da Infraestrutura Tarcísio - Presidente Jair Bolsonaro",https://www.facebook.com/jairmessias.bolsonaro/videos/2542034789407623/,https://www.facebook.com/211857482296579/posts/1718728921609420/,2673.0,5943.0,39735.0,35430.0,3330.0,782.0,43.0,116.0,34.0
5,2019-12-24 23:46:02,added_video,video,02:05,- De 1955 ☆ até onde Ele me permitir servir à minha Pátria.,https://www.facebook.com/jairmessias.bolsonaro/videos/2615811941984623/,https://www.facebook.com/211857482296579/posts/1717749905040655/,7418.0,15804.0,93458.0,78784.0,14026.0,475.0,127.0,25.0,21.0
6,2019-12-24 12:54:02,mobile_status_update,status,,"- Da série João 8:32 (9):  - O futuro do Brasil depende do esforço de cada um de nós. Não cobre, de uma única pessoa, a solução do que foi destruído, por décadas, pela ação dos maus e omissão dos bons.  -  Eclesiastes 4:10 - porque se um cair o outro levanta o seu companheiro; mas ai do que estiver só; pois, caindo, não haverá outro que o levante.",,https://www.facebook.com/211857482296579/posts/1717169675098678/,10086.0,8931.0,100330.0,88969.0,10569.0,450.0,285.0,26.0,31.0
7,2019-12-22 12:56:42,added_video,video,00:11,"- PODER EM FOCO, nesse domingo, após o programa SILVIO SANTOS.",https://www.facebook.com/jairmessias.bolsonaro/videos/1348244168678727/,https://www.facebook.com/211857482296579/posts/1714964591985853/,1340.0,4902.0,32263.0,29700.0,2170.0,265.0,102.0,3.0,23.0
8,2019-12-22 09:21:31,mobile_status_update,status,,"- Nota de Esclarecimento do Ministério de Minas e Energia (MME):*l  - A citação publicada pelo jornal O Globo (21/dez), sobre possibilidade de racionamento de energia elétrica em 2020, não corresponde a realidade do setor elétrico brasileiro.  - Não haverá falta de energia, mesmo que haja crescimento da economia acima de 2,5%. A cada ano, o MME vem contratando um conjunto de empreendimentos de diversas fontes de energia (eólica, solar, biomassa, térmicas e pequenas centrais hidrelétricas  etc), suficientes para atender o crescimento econômico e sustentável do País.  - O investidor acredita no mercado brasileiro, tanto que, no último leilão de contratação de geração de energia de 2019 foram cadastrados mais de 100 GW em projetos, que seriam suficientes para atender o crescimento econômico e a demanda do país por energia, pelos próximos 12 anos.  - Adicionalmente, a segurança do suprimento eletroenergético nacional é avaliada continuamente pelo Comitê de Monitoramento do Setor Elétrico - CMSE, presidido pelo Ministro de Minas e Energia, juntamente com a ANEEL, a ANP, o  ONS, a EPE e a CCEE. Portanto o MME está preparado para expandir o setor de forma contínua, com confiabilidade e segurança, para garantir o fornecimento de energia sociedade .  - PR JAIR BOLSONARO - MME BENTO ALBUQUERQUE",,https://www.facebook.com/211857482296579/posts/1714784955337150/,4078.0,11238.0,78044.0,73399.0,4054.0,400.0,131.0,10.0,50.0
9,2019-12-21 16:22:53,added_video,video,03:10,- Alexandre Garcia: o 1° ano do Governo Jair Bolsonaro.,https://www.facebook.com/jairmessias.bolsonaro/videos/974067119645936/,https://www.facebook.com/211857482296579/posts/1713976298751349/,4589.0,31596.0,91368.0,83175.0,7020.0,327.0,796.0,12.0,38.0
