F1 (base2.csv);F1;Número de registros;angry.summary.total_count (base2.csv);angry.summary.total_count;comments.summary.total_count (base2.csv);comments.summary.total_count;created_time (base2.csv);created_time;haha.summary.total_count (base2.csv);haha.summary.total_count;id (base2.csv);id.1 (base2.csv);id.1;id;index (base2.csv);index;level (base2.csv);level;like.summary.total_count (base2.csv);like.summary.total_count;link (base2.csv);link;love.summary.total_count (base2.csv);love.summary.total_count;message (base2.csv);message;parent_id (base2.csv);parent_id;permalink_url (base2.csv);permalink_url;properties.0.text (base2.csv);properties.0.text;reactions.summary.total_count (base2.csv);reactions.summary.total_count;sad.summary.total_count (base2.csv);sad.summary.total_count;shares.count (base2.csv);shares.count;status_type (base2.csv);status_type;type (base2.csv);type;wow.summary.total_count (base2.csv);wow.summary.total_count
0;0;1;43.0;;7663.0;;;2019-12-30T15:45:15+0000;326.0;;622;211857482296579_1724945110987801;211857482296579_1724945110987801;2;2;1;2;1;82471.0;;;https://www.facebook.com/jairmessias.bolsonaro/videos/441870580101302/;8426.0;;;#NOME?;2;1;;https://www.facebook.com/211857482296579/posts/1724945110987801/;;01:44;92429.0;;14.0;;18709.0;;;added_video;;video;1149.0;
1;1;1;34.0;;2120.0;;;2019-12-28T19:37:15+0000;104.0;;623;211857482296579_1722770851205227;211857482296579_1722770851205227;3;4;3;2;1;53414.0;;;https://www.facebook.com/jairmessias.bolsonaro/videos/1090806681113830/;4050.0;;;#NOME?;3;1;;https://www.facebook.com/211857482296579/posts/1722770851205227/;;00:39;58791.0;;14.0;;8068.0;;;added_video;;video;1175.0;
2;2;1;106.0;;8231.0;;;2019-12-27T15:47:33+0000;281.0;;624;211857482296579_562994224541231;211857482296579_562994224541231;4;6;5;2;1;40766.0;;;https://www.facebook.com/jairmessias.bolsonaro/videos/562994224541231/;6626.0;;;;4;1;;https://www.facebook.com/jairmessias.bolsonaro/videos/562994224541231/;;15:34;47923.0;;22.0;;4072.0;;;added_video;;video;122.0;
3;3;1;1208.0;;34066.0;;;2019-12-26T22:00:02+0000;533.0;;625;211857482296579_2645151742265882;211857482296579_2645151742265882;5;8;7;2;1;75540.0;;;https://www.facebook.com/jairmessias.bolsonaro/videos/2645151742265882/;13400.0;;;;5;1;;https://www.facebook.com/jairmessias.bolsonaro/videos/2645151742265882/;;50:58:00;91223.0;;138.0;;14985.0;;;added_video;;video;404.0;
4;4;1;34.0;;2673.0;;;2019-12-25T17:06:24+0000;43.0;;626;211857482296579_1718728921609420;211857482296579_1718728921609420;6;10;9;2;1;35430.0;;;https://www.facebook.com/jairmessias.bolsonaro/videos/2542034789407623/;3330.0;;;"- Recebi a demanda de um professor de medicina da Universidade Federal de Roraima, falando dos atoleiros existentes na Rv Porto Velho/Manaus.  - Mesmo sendo Natal acionei o Capitão Tarcísio, Ministro da Infraestrutura. Segue sua resposta:  - ""Essa é a BR-319/AM, que liga Porto Velho a Manaus. Nós fizemos um bom trabalho de manutenção esse ano lá, mas não adianta. Quando chega na chuva, a estrada se deteriora rapidamente.  - Essa estrada foi pavimentada totalmente, foi inaugurada em 1978. Mas o asfalto se perdeu e a dificuldade para uma nova pavimentação reside na licença ambiental.  - Então vamos lá. São duas ações. Uma de curto prazo e outra mais de longo prazo.  - Curto prazo: estamos acionando máquinas do contrato de manutenção para colocar rachão e brita e dar trafegabilidade nas áreas de atoleiro. Isso vai garantir o trânsito no inverno.  - Longo prazo: agora no primeiro trimestre de 2020 vou fazer a licitação para pavimentação dos primeiros 52 km. Enquanto isso estamos fazendo o projeto para os 405 km restantes.  - A licitação do projeto fizemos agora em dezembro. Enquanto fazemos o projeto, estamos trabalhando na licença ambiental. O presidente do IBAMA, que é muito bom, selecionou uma equipe a dedo e está determinado a dar a licença. Com a licença, contrato a obra do trecho todo.""  - Ministro da Infraestrutura Tarcísio - Presidente Jair Bolsonaro";6;1;;https://www.facebook.com/211857482296579/posts/1718728921609420/;;00:26;39735.0;;116.0;;5943.0;;;added_video;;video;782.0;
5;5;1;21.0;;7418.0;;;2019-12-24T23:46:02+0000;127.0;;627;211857482296579_1717749905040655;211857482296579_1717749905040655;7;12;11;2;1;78784.0;;;https://www.facebook.com/jairmessias.bolsonaro/videos/2615811941984623/;14026.0;;;- De 1955 ☆ até onde Ele me permitir servir à minha Pátria.;7;1;;https://www.facebook.com/211857482296579/posts/1717749905040655/;;02:05;93458.0;;25.0;;15804.0;;;added_video;;video;475.0;
6;6;1;31.0;;10086.0;;;2019-12-24T12:54:02+0000;285.0;;628;211857482296579_1717169675098678;211857482296579_1717169675098678;8;14;13;2;1;88969.0;;;;10569.0;;;"- Da série João 8:32 (9):  - O futuro do Brasil depende do esforço de cada um de nós. Não cobre, de uma única pessoa, a solução do que foi destruído, por décadas, pela ação dos maus e omissão dos bons.  -  Eclesiastes 4:10 - porque se um cair o outro levanta o seu companheiro; mas ai do que estiver só; pois, caindo, não haverá outro que o levante.";8;1;;https://www.facebook.com/211857482296579/posts/1717169675098678/;;;100330.0;;26.0;;8931.0;;;mobile_status_update;;status;450.0;
7;7;1;23.0;;1340.0;;;2019-12-22T12:56:42+0000;102.0;;629;211857482296579_1714964591985853;211857482296579_1714964591985853;9;16;15;2;1;29700.0;;;https://www.facebook.com/jairmessias.bolsonaro/videos/1348244168678727/;2170.0;;;- PODER EM FOCO, nesse domingo, após o programa SILVIO SANTOS.;9;1;;https://www.facebook.com/211857482296579/posts/1714964591985853/;;00:11;32263.0;;3.0;;4902.0;;;added_video;;video;265.0;
8;8;1;50.0;;4078.0;;;2019-12-22T09:21:31+0000;131.0;;630;211857482296579_1714784955337150;211857482296579_1714784955337150;10;18;17;2;1;73399.0;;;;4054.0;;;- Nota de Esclarecimento do Ministério de Minas e Energia (MME):*l  - A citação publicada pelo jornal O Globo (21/dez), sobre possibilidade de racionamento de energia elétrica em 2020, não corresponde a realidade do setor elétrico brasileiro.  - Não haverá falta de energia, mesmo que haja crescimento da economia acima de 2,5%. A cada ano, o MME vem contratando um conjunto de empreendimentos de diversas fontes de energia (eólica, solar, biomassa, térmicas e pequenas centrais hidrelétricas  etc), suficientes para atender o crescimento econômico e sustentável do País.  - O investidor acredita no mercado brasileiro, tanto que, no último leilão de contratação de geração de energia de 2019 foram cadastrados mais de 100 GW em projetos, que seriam suficientes para atender o crescimento econômico e a demanda do país por energia, pelos próximos 12 anos.  - Adicionalmente, a segurança do suprimento eletroenergético nacional é avaliada continuamente pelo Comitê de Monitoramento do Setor Elétrico - CMSE, presidido pelo Ministro de Minas e Energia, juntamente com a ANEEL, a ANP, o  ONS, a EPE e a CCEE. Portanto o MME está preparado para expandir o setor de forma contínua, com confiabilidade e segurança, para garantir o fornecimento de energia sociedade .  - PR JAIR BOLSONARO - MME BENTO ALBUQUERQUE;10;1;;https://www.facebook.com/211857482296579/posts/1714784955337150/;;;78044.0;;10.0;;11238.0;;;mobile_status_update;;status;400.0;
9;9;1;38.0;;4589.0;;;2019-12-21T16:22:53+0000;796.0;;631;211857482296579_1713976298751349;211857482296579_1713976298751349;11;20;19;2;1;83175.0;;;https://www.facebook.com/jairmessias.bolsonaro/videos/974067119645936/;7020.0;;;- Alexandre Garcia: o 1° ano do Governo Jair Bolsonaro.;11;1;;https://www.facebook.com/211857482296579/posts/1713976298751349/;;03:10;91368.0;;12.0;;31596.0;;;added_video;;video;327.0;
