"path";"id";"parent_id";"level";"object_id";"object_type";"query_status";"query_time";"query_type";"id";"created_time";"status_type";"type";"properties.0.text";"message";"link";"permalink_url";"comments.summary.total_count";"shares.count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"wow.summary.total_count";"haha.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"jairmessias.bolsonaro";"1";"None";"0";"jairmessias.bolsonaro";"seed";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1724945110987801";"2";"1";"1";"211857482296579_1724945110987801";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_1724945110987801";"2019-12-30T15:45:15+0000";"added_video";"video";"01:44";"- Farol da Barra. - Salvador/BA.";"https://www.facebook.com/jairmessias.bolsonaro/videos/441870580101302/";"https://www.facebook.com/211857482296579/posts/1724945110987801/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1724945110987801/211857482296579_1724945110987801";"622";"2";"2";"211857482296579_1724945110987801";"data";"fetched (200)";"2020-05-26 13:08:42.120301";"Facebook:/<post-id>";"211857482296579_1724945110987801";"";"";"";"";"";"";"";"7663";"18709";"92429";"82471";"8426";"1149";"326";"14";"43"
"jairmessias.bolsonaro/211857482296579_1722770851205227";"3";"1";"1";"211857482296579_1722770851205227";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_1722770851205227";"2019-12-28T19:37:15+0000";"added_video";"video";"00:39";"- Turismo sustentável na Amazônia.  Cada turista é um fiscal do meio-ambiente.   - Conheça a região mais cobiçada do mundo.";"https://www.facebook.com/jairmessias.bolsonaro/videos/1090806681113830/";"https://www.facebook.com/211857482296579/posts/1722770851205227/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_1722770851205227/211857482296579_1722770851205227";"623";"3";"2";"211857482296579_1722770851205227";"data";"fetched (200)";"2020-05-26 13:08:42.369104";"Facebook:/<post-id>";"211857482296579_1722770851205227";"";"";"";"";"";"";"";"2120";"8068";"58791";"53414";"4050";"1175";"104";"14";"34"
"jairmessias.bolsonaro/211857482296579_562994224541231";"4";"1";"1";"211857482296579_562994224541231";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_562994224541231";"2019-12-27T15:47:33+0000";"added_video";"video";"15:34";"";"https://www.facebook.com/jairmessias.bolsonaro/videos/562994224541231/";"https://www.facebook.com/jairmessias.bolsonaro/videos/562994224541231/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_562994224541231/211857482296579_562994224541231";"624";"4";"2";"211857482296579_562994224541231";"data";"fetched (200)";"2020-05-26 13:08:42.691227";"Facebook:/<post-id>";"211857482296579_562994224541231";"";"";"";"";"";"";"";"8231";"4072";"47923";"40766";"6626";"122";"281";"22";"106"
"jairmessias.bolsonaro/211857482296579_2645151742265882";"5";"1";"1";"211857482296579_2645151742265882";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_2645151742265882";"2019-12-26T22:00:02+0000";"added_video";"video";"50:58";"";"https://www.facebook.com/jairmessias.bolsonaro/videos/2645151742265882/";"https://www.facebook.com/jairmessias.bolsonaro/videos/2645151742265882/";"";"";"";"";"";"";"";"";""
"jairmessias.bolsonaro/211857482296579_2645151742265882/211857482296579_2645151742265882";"625";"5";"2";"211857482296579_2645151742265882";"data";"fetched (200)";"2020-05-26 13:08:43.016557";"Facebook:/<post-id>";"211857482296579_2645151742265882";"";"";"";"";"";"";"";"34066";"14985";"91223";"75540";"13400";"404";"533";"138";"1208"
"jairmessias.bolsonaro/211857482296579_1718728921609420";"6";"1";"1";"211857482296579_1718728921609420";"data";"fetched (200)";"2020-05-26 13:08:03.002931";"Facebook:/<page-id>/posts";"211857482296579_1718728921609420";"2019-12-25T17:06:24+0000";"added_video";"video";"00:26";"- Recebi a demanda de um professor de medicina da Universidade Federal de Roraima, falando dos atoleiros existentes na Rv Porto Velho/Manaus.  - Mesmo sendo Natal acionei o Capitão Tarcísio, Ministro da Infraestrutura. Segue sua resposta:  - ""Essa é a BR-319/AM, que liga Porto Velho a Manaus. Nós fizemos um bom trabalho de manutenção esse ano lá, mas não adianta. Quando chega na chuva, a estrada se deteriora rapidamente.  - Essa estrada foi pavimentada totalmente, foi inaugurada em 1978. Mas o asfalto se perdeu e a dificuldade para uma nova pavimentação reside na licença ambiental.  - Então vamos lá. São duas ações. Uma de curto prazo e outra mais de longo prazo.  - Curto prazo: estamos acionando máquinas do contrato de manutenção para colocar rachão e brita e dar trafegabilidade nas áreas de atoleiro. Isso vai garantir o trânsito no inverno.  - Longo prazo: agora no primeiro trimestre de 2020 vou fazer a licitação para pavimentação dos primeiros 52 km. Enquanto isso estamos fazendo o projeto para os 405 km restantes.  - A licitação do projeto fizemos agora em dezembro. Enquanto fazemos o projeto, estamos trabalhando na licença ambiental. O presidente do IBAMA, que é muito bom, selecionou uma equipe a dedo e está determinado a dar a licença. Com a licença, contrato a obra do trecho todo.""  - Ministro da Infraestrutura Tarcísio - Presidente Jair Bolsonaro";"https://www.facebook.com/jairmessias.bolsonaro/videos/2542034789407623/";"https://www.facebook.com/211857482296579/posts/1718728921609420/";"";"";"";"";"";"";"";"";""
