,path,id,parent_id,level,object_id,object_type,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
19064,211857482296579_1336926313123018/211857482296579_1475667249248923/1475667249248923_1475670015915313,19071,3,2,1475667249248923_1475670015915313,data,fetched (200),2020-05-29 13:46:21.192024,Facebook:/<post-id>/comments,nunca em toda minha vida conheci um presidente tao humilde quanto o senhor  tenho 17 anos e 2018 foi meu primeiro voto para presidente  e nunca me senti tao orgulhoso  presidente  vc e o cara   ,2019-06-03T02:21:28+0000,6764.0,1312.0,
19,211857482296579_1336926313123018/1336926313123018_343174339743839/1336926313123018_1336928589789457,27,2,2,1336926313123018_1336928589789457,data,fetched (200),2020-05-29 13:41:43.533672,Facebook:/<post-id>/comments,eu entendi ela em libras muito melhor que a dilma em portugues ,2019-01-01T23:18:34+0000,5168.0,440.0,
21,211857482296579_1336926313123018/1336926313123018_343174339743839/1336926313123018_299848620666317,29,2,2,1336926313123018_299848620666317,data,fetched (200),2020-05-29 13:41:43.533672,Facebook:/<post-id>/comments,sou surda em eu estou orgulhosa   fiquei muito emocao chorei   libras   primeira dama discurso      mais valorizacao surdos   eu acredita em deus  ,2019-01-01T23:51:17+0000,4747.0,195.0,
20,211857482296579_1336926313123018/1336926313123018_343174339743839/1336926313123018_772601616425286,28,2,2,1336926313123018_772601616425286,data,fetched (200),2020-05-29 13:41:43.533672,Facebook:/<post-id>/comments,o apice para mim foi a interprete chorando  chorei junto  e os beijinhos ,2019-01-01T23:26:15+0000,3810.0,196.0,
19058,211857482296579_1336926313123018/1336926313123018_343174339743839/1336926313123018_1336936006455382,19066,2,2,1336926313123018_1336936006455382,data,fetched (200),2020-05-29 13:46:20.329243,Facebook:/<post-id>/comments,caneta mont blanc  r  3 500 00  ver seu presidente assinar a posse dos ministros com uma caneta bic nao tem preco ,2019-01-01T23:21:34+0000,3532.0,129.0,
58,211857482296579_1336926313123018/1336926313123018_343174339743839/1336926313123018_772599759758805,66,2,2,1336926313123018_772599759758805,data,fetched (200),2020-05-29 13:41:44.213886,Facebook:/<post-id>/comments,as definicoes de  empoderamento  e  lacracao  foram atualizadas com sucesso ,2019-01-01T23:23:58+0000,3053.0,68.0,
5822,211857482296579_1336926313123018/1336926313123018_343174339743839/1336926313123018_1336931966455786,5830,2,2,1336926313123018_1336931966455786,data,fetched (200),2020-05-29 13:43:06.648186,Facebook:/<post-id>/comments,foi cuspido  esfaqueado  humilhado  extremamente desrespeitado por toda a midia  e hoje foi chamado de excelentissimo presidente da republica  ,2019-01-01T23:20:03+0000,2920.0,82.0,
22,211857482296579_1336926313123018/1336926313123018_343174339743839/1336926313123018_1336929736456009,30,2,2,1336926313123018_1336929736456009,data,fetched (200),2020-05-29 13:41:43.533672,Facebook:/<post-id>/comments,e serio  quem tiver coragem de criticar esse lindo discurso da nossa primeira dama e pq esta com muita inveja  foi lindo de mais tenho certeza que emocionou muita gente inclusive eu  parabens emocionante ,2019-01-01T23:19:10+0000,2915.0,95.0,
19083,211857482296579_1336926313123018/211857482296579_1475667249248923/1475667249248923_1084279355098289,19090,3,2,1475667249248923_1084279355098289,data,fetched (200),2020-05-29 13:46:21.192024,Facebook:/<post-id>/comments,amanha vai ser noticia presidente bolsonaro sequestrou criancas e fez churrasquinho delas ,2019-06-03T02:32:48+0000,2649.0,790.0,
19085,211857482296579_1336926313123018/211857482296579_1475667249248923/1475667249248923_1475668432582138,19092,3,2,1475667249248923_1475668432582138,data,fetched (200),2020-05-29 13:46:21.192024,Facebook:/<post-id>/comments,pesquisa rapida   satisfeito  votaria novamente  insatisfeito,2019-06-03T02:20:16+0000,2572.0,5056.0,
69561,211857482296579_1336926313123018/211857482296579_558804064888548/558804064888548_342991579851095,69566,7,2,558804064888548_342991579851095,data,fetched (200),2020-05-29 13:58:03.487500,Facebook:/<post-id>/comments,nao existe nada pior do que ser caluniado  deus e justo e ve tudo sr presidente  que deus cuide do senhor,2019-10-30T01:09:34+0000,2551.0,462.0,
19075,211857482296579_1336926313123018/211857482296579_1475667249248923/1475667249248923_1475673585914956,19082,3,2,1475667249248923_1475673585914956,data,fetched (200),2020-05-29 13:46:21.192024,Facebook:/<post-id>/comments,voce e demais bolsonaro  eu como professora de educacao infantil fico muito feliz que tenha amor pelas nossas criancas ,2019-06-03T02:23:30+0000,2550.0,232.0,
19069,211857482296579_1336926313123018/211857482296579_1475667249248923/1475667249248923_1475670919248556,19076,3,2,1475667249248923_1475670919248556,data,fetched (200),2020-05-29 13:46:21.192024,Facebook:/<post-id>/comments,bolsonaroooo minha familia nao fala mas comigo porque votei no senhor   17 votarei de novo em 2022 que orgulho do senhor presidente,2019-06-03T02:21:56+0000,2268.0,256.0,
69582,211857482296579_1336926313123018/211857482296579_558804064888548/558804064888548_1365481843621183,69587,7,2,558804064888548_1365481843621183,data,fetched (200),2020-05-29 13:58:03.487500,Facebook:/<post-id>/comments,amigos  convoco a todos que comecemos uma corrente de oracoes por esse presidente  mais do que nunca ele esta precisando  so mesmo deus acima de tudo e de todos      ,2019-10-30T01:13:02+0000,2020.0,343.0,
69560,211857482296579_1336926313123018/211857482296579_558804064888548/558804064888548_170255047419573,69565,7,2,558804064888548_170255047419573,data,fetched (200),2020-05-29 13:58:03.487500,Facebook:/<post-id>/comments,va na rede nacional e de uma declaracao   de forma decente  sai das redes e faz papel de presidente  se coloca no seu lugar ,2019-10-30T01:07:44+0000,1975.0,764.0,
19082,211857482296579_1336926313123018/211857482296579_1475667249248923/1475667249248923_1257031454472251,19089,3,2,1475667249248923_1257031454472251,data,fetched (200),2020-05-29 13:46:21.192024,Facebook:/<post-id>/comments,tenho 37 anos de idade e ate hoje em todos esses anos de vida que deus tem mim concedido nunca vir na estoria do brasil um presidente honesto de carater simples com tanta humildade igual temos visto ja durante esses cinco meses  analisando tudo isso vejo com todo conviccao que nunca em toda minha vida votei tao certo  sem duvida meu voto e meu esforco nas minhas redes sociais em apoio a esse grande homem meu presidente tem valido muito apena  sem duvida vc nos representa ,2019-06-03T02:43:42+0000,1870.0,649.0,
44155,211857482296579_1336926313123018/211857482296579_1467409400074708/1467409400074708_318935885667777,44161,4,2,1467409400074708_318935885667777,data,fetched (200),2020-05-29 13:52:12.295627,Facebook:/<post-id>/comments,sua formatura de espadim 1977 capitao reliquia hein   rsrs,2019-05-25T23:17:36+0000,1849.0,196.0,
94704,211857482296579_1336926313123018/211857482296579_2168960073415641/2168960073415641_582766668890277,94708,8,2,2168960073415641_582766668890277,data,fetched (200),2020-05-29 14:03:54.870616,Facebook:/<post-id>/comments,alguem ai sabe onde eu compro uma urna eletronica pra votar no bolsonaro todo dia  #bolsonaro2022,2019-03-07T21:34:27+0000,1701.0,259.0,
69567,211857482296579_1336926313123018/211857482296579_558804064888548/558804064888548_246079653032513,69572,7,2,558804064888548_246079653032513,data,fetched (200),2020-05-29 13:58:03.487500,Facebook:/<post-id>/comments,tenha calma homem   cuide de sua saude   foque  no que esta acontecendo de bom em nossa nacao em seu governo ,2019-10-30T01:04:36+0000,1641.0,344.0,
19068,211857482296579_1336926313123018/211857482296579_1475667249248923/1475667249248923_1084280095098215,19075,3,2,1475667249248923_1084280095098215,data,fetched (200),2020-05-29 13:46:21.192024,Facebook:/<post-id>/comments,oooo lula posso ir na sua casa     nao companherinho la e muito apertado  nem o sol da para ver nascer kkkkk pega a visao ai vitor hugo,2019-06-03T02:33:42+0000,1599.0,313.0,
94680,211857482296579_1336926313123018/211857482296579_2168960073415641/2168960073415641_118527582624655,94684,8,2,2168960073415641_118527582624655,data,fetched (200),2020-05-29 14:03:54.870616,Facebook:/<post-id>/comments,nunca na historia do brasil um presidente teve tanto cuidado com o povao  ,2019-03-07T21:33:20+0000,1581.0,222.0,
94690,211857482296579_1336926313123018/211857482296579_2168960073415641/2168960073415641_1227851187392405,94694,8,2,2168960073415641_1227851187392405,data,fetched (200),2020-05-29 14:03:54.870616,Facebook:/<post-id>/comments,qual a parte que vcs nao entenderam que o melhor canal pra ele se comunicar e a internet    a midia distorce ate uma virgula do que ele fala,2019-03-07T21:40:40+0000,1552.0,122.0,
69559,211857482296579_1336926313123018/211857482296579_558804064888548/558804064888548_523014721866124,69564,7,2,558804064888548_523014721866124,data,fetched (200),2020-05-29 13:58:03.487500,Facebook:/<post-id>/comments,querem tirar o senhor de qualquer jeito   parabens pelo seu trabalho   ate o momento o senhor e o melhor presidente que o brasil ja teve  ,2019-10-30T00:54:14+0000,1369.0,172.0,
104967,211857482296579_1336926313123018/211857482296579_2168960073415641/2168960073415641_2181493271964178,104971,8,2,2168960073415641_2181493271964178,data,fetched (200),2020-05-29 14:06:16.591610,Facebook:/<post-id>/comments,fazendo live e a maneira correta de nosso presidente estar proximo de nos  #bolsonaro2022,2019-03-07T21:34:51+0000,1163.0,46.0,
19084,211857482296579_1336926313123018/211857482296579_1475667249248923/1475667249248923_1475671659248482,19091,3,2,1475667249248923_1475671659248482,data,fetched (200),2020-05-29 13:46:21.192024,Facebook:/<post-id>/comments,correcao  residencia bolsonaro ate 2026  no minimo ,2019-06-03T02:22:22+0000,1160.0,90.0,
44162,211857482296579_1336926313123018/211857482296579_1467409400074708/1467409400074708_658063254616486,44168,4,2,1467409400074708_658063254616486,data,fetched (200),2020-05-29 13:52:12.295627,Facebook:/<post-id>/comments,casal lindo    conquistou a todos nos  presidente o sr e tudo de bom   mas a sua esposa domina nossa apreciacao   e meiga e especial e divina e abencoada   parabens a ambos,2019-05-25T23:16:02+0000,967.0,102.0,
24,211857482296579_1336926313123018/1336926313123018_343174339743839/1336926313123018_332057297405829,32,2,2,1336926313123018_332057297405829,data,fetched (200),2020-05-29 13:41:43.533672,Facebook:/<post-id>/comments, que coisa     a entao  presidenta dilma  falava tudo e nao dizia nada  hoje a  primeira dama  nao falou nada e disse tudo   ,2019-01-01T23:57:13+0000,942.0,25.0,
