"language","id","text","resultado"
"pt","23049","as feministas estao ocupadas criticando a fala da ministra damares",0.463430553674698
"pt","29359","nao se preocupe meu presidente  o nosso exercito brasileiro ja esta aqui desde ontem para fazer a sua seguranca merecida ",0.323467254638672
"pt","29360","presidente  nestes casos melhor acionar sempre a guarda nacional  os governadores opostos ao seu governo  mesmo beneficiando sua gente torcem que algo mal lhe aconteca  fica a dica  parabens por mais esta obra  que deus lhe proteja ",0.719148278236389
"pt","23060","alo kefera buchmann vai la explicar o que e feminismo para os homens de la  ",0.656713843345642
"pt","10959","nunca se viu no brasil um presidente escrever nada nem em revistas  bolsonaro nos mostra ser um governo popular sem frescuras e fala e expoes as coisas erradas que fazem nesse pais    vai ser um grande presidente pode anotar",0.711286664009094
"pt","8832","o brasil merece seguir avancando  onde jair for eu vou  e voces  #ondejairforeuvou #estamoscombolsonaro",0.437988221645355
"pt","8833","senhor presidente com todo respeito  faca alguma coisa por nos   nao fique em silencio  nos precisamos de voce  nao se cale  essa nao e sua natureza ",0.325754016637802
"pt","29368","de certa forma  isso e muito bom  bolsonaro  chegou a hora de o brasil pensar no federalismo  onde cada estado gasta o que gera de grana ",0.884615361690521
"pt","12","atencao policiais do amazonas   a bola foi passada para vcs   ",0.488586127758026
"pt","29364","covardia e uma caracteristica essencial da personalidade de um petista",0.30561101436615
"pt","43152","maior  e o exercito  que  estar  com  o senhor   o  exercito  de  cristo em  oracao   pela    a  seguranca       sua e  de  seus   familiares   deus  acima de tudo e de todos",0.740718722343445
"pt","13","se nao tem vaga na penitenciaria  o cemiterio cabe tranquilo ",0.454257428646088
"pt","10951","ato obsceno          art  233 do codigo penal   praticar ato obsceno em lugar publico  ou aberto ou exposto ao publico           pena   detencao  de tres meses a um ano  ou multa ",0.155172407627106
"pt","8834","que tal agir no artigo 142   ta na hora  porque essa justica brasileira ja virou uma verdadeira bagunca ",0.77724152803421
"pt","23053","transfere a embaixada logo  presidente  ",0.484248459339142
"pt","23061","inacreditavel que isso aconteca debaixo dos direitos humanos da onu   ironia ",0.469162166118622
"pt","23122","isso mesmo meu presidente  denuncie   porque nao existe um lider corajoso que enfrente essa monstruosidade   ",0.192156344652176
"pt","18","a juiza que soltou os assassinos e a mesma que foi afastada por facilitar a corrupcao em coari   ana paula de medeiros braga  a juiza que assinou o alvara de soltura  filha do ex secretario de cultura roberio braga ",0.492047011852264
"pt","10956","eu estava com medo da resistencia  confesso  quando vi que se trata de um monte de zumbi que nem sabem o motivo da luta eu fiquei tranquilo  com uma oposicao como essa a direita vai se perpetuar no brasil   #avantecapitao",0.322323888540268
"pt","10944","esse povo pensa com a bunda  afinal o cerebro nunca funciona ",0.0764167904853821
"pt","10961","nao da pra acreditar  que tem quem faca protesto nesse sol de 50 pra defender bandido  ",0
"pt","10947","como podem ser tao inuteis ao nosso brasil ",0.579699814319611
"pt","10962","e por coisas assim que tenho orgulho de ter votado no candidato certo ",0.708372473716736
"pt","29374","se tornou inimigo de quem nao quer ver o bem do brasil   deus o abencoe grandemente nessa jornada ",0.670321345329285
"pt","10327","o lula foi liberto  embora aprecie os feitos do meu presidente  hoje me sinto um brasileiro derrotado e traido pelo minha propria corte suprema  meus pesames a minha patria amada ",0.517745971679688
"pt","10151","voce nao se pronunciou sobre a decisao do stf  estamos aguardando ",0.352657914161682
"pt","22","eu concordo plenamente com a familia   se nao existe justica    que facamos com as proprias maos   lei de hamurabi olho por olho e dente por dente  ",0.451472371816635
"pt","11","presidente contamos com vc para acabar com essas injusticas no brasil  o amazonas esta revoltado ",0.318596124649048
"pt","23114","ana carolina ferreira  voce e a unica feminista sensata e estudiosa que conheco  tem meu respeito e sabe disso  juro que nao e uma provocacao  mas por que o movimento feminista nunca se pronuncia contra isso  por que nao se manifestam contra isso  na minha concepcao  nao ha agressao mais grave as mulheres do que isso  no entanto  nao conheco uma unica feminista que pelo menos fale a respeito ",0.355072468519211
"pt","29361","nos de vitoria da conquista estamos aqui para te receber de bracos abertos   quanto ao governador deste nao pode se esperar muita coisa   ele e orientado por um presidiario",0.455309271812439
"pt","29379","boa viagem meu presidente e desde ja agradeco sua compreensao e sua vinda aqui no nosso estado do maranhao ",0.83855402469635
"pt","23081","ja invadiram londres e paris infelizmente  tem ate canal de tv aberta de muculmano na inglaterra ",0
"pt","8845","senhor presidente  ora bastante por que a inveja vai ser grande o que o lula nao fez durante anos o senhor fez em pouco meses entao ora peca a deus que tire toda a inveja que lhe sera lancada   ",0.461550742387772
"pt","23065","aqui no brasil nao  fechar as fronteiras imediatamente ",0.339640319347382
"pt","15","tudo isso ai culpa dos ministros do stf e do davi alcolumbre e rodrigo maia  principalmente do pt  dia 30 vamos esta em brasilia pelo um brasil melhor  o brasil acima de tudo e deus acima de todos ",0.763157904148102
"pt","42425","sr presidente bolsonaro  equipe e familias  o senhor te abencoe e te guarde  o senhor faca resplandecer o seu rosto sobre ti  e tenha misericordia de ti  o senhor sobre ti levante o seu rosto e te de a paz   numeros 6 24 26 #deusacimadetodos #bolsonarotemrazao",0.708333313465118
"pt","29367","pensei que o presidente fosse autoridade maxima aqui no brasil    lamentavel ver a falta de respeito que o brasileiro tem  para com uma autoridade como um presidente  que deus lhe guarde que nao seja uma emboscada    ",0.258657723665237
"pt","23054","te amo presidente",0.588341116905212
"pt","23064","avante  capitao  vamos mudar o rumo desse pais",0.820962309837341
"pt","17","mas nem um parente do sargento para dar uma cancelada de cpf  depois alegava que agiu sobre forte emocao   ",0.206254422664642
"pt","10965","nem vale a pena prestar atencao nessa gente  vamos prestar atencao no abaixo assinado do deltan dalagnol porque isso ajuda nosso presidente  nada de votacao secreta na camara e no senado   https   www change org p dep rodrigomaia camara leg br exigimos vota c3 a7 c3 a3o aberta para a presid c3 aancia do congresso c c3 a2mara e senado recruiter 928303442 utm source share petition utm medium copylink utm campaign share petition",0.540176749229431
"pt","16","policia do amazonas quero ver resultados o mais rapido possivel nao permita que a morte do sgt seja impune ",0
"pt","23089","a igreja catolica fez pior por 1000 anos e ninguem fala nada kkk",0
"pt","29362","absurda essa decisao  quando precisarem da forca nacional faca o mesmo ",0.523987352848053
"pt","41946","que o nosso deus coloque os seus anjos e te proteja de todos os males   meu presidente   fica bem atento   pq tem muitos que nao estao satisfeitos com os resultados positivos que o senhor vem proporcionando ao brasil   estamos com o senhor e cuidado com alguns falsos que andam do seu lado   que deus te abencoe   tmjs ",0.675438582897186
"pt","29365","moro em vitoria da conquista  e o pt comandou a prefeitura durante 20 anos  e em 2018 conseguimos mudar  gracas a deus   tenho um filho de 11 anos que estava ansioso para ver o nosso presidente  mas acho prudente a inauguracao ser reservada  deus abencoe o bolsonaro   que ele olhe por todos e tente unificar esse nosso brasil  ",0.606977999210358
"pt","23066","obrigada presidente por ser essa voz de alerta como lider maior da nacao  realmente o movimento feminista se manifesta  somente para o que lhe convem",0.899999976158142
"pt","29366","uma verdadeira infantilidade do nosso governador  ruy costa  a policia militar  nao e patrimonio dele  e sim da populacao  esta briguinha ridicula de esquerda x direita no brasil  ja passou do limite  o nordeste tambem e brasil  mas tem gente aqui que nos envergonha demais  um boa viagem presidente  seja bem vindo em nossa cidade ",0.570632755756378
"pt","29370","pode deixar capitao nos faremos a sua seguranca o povo do bem esta aqui pra te receber de bracos abertos",0.883574962615967
"pt","9063","sr  presidente  parabens pelo otimo governo que esta fazendo  mas temos que no ater com o anunciado pelo olavo de carvalho   o brasil e o pais das oportunidades perdidas  o tempo de combater eficazmente o foro de sao paulo ja passou  se o governo nao acordar agora  ele corre o risco de que sua unica realizacao  no fim das contas  consista em entregar aos comunistas uma casa mais arrumadinha  ",0.546653568744659
"pt","10","pois e sr presidente  estamos esperando a reducao da maioridade penal  fim do auxilio reclusao  fim dos indultos  mudancas na audiencia de custodia  ou fomos enganados   ",0.469540148973465
"pt","19","estou achando que a melhor forma de punir eles e ter deixado solto  vamos ver as noticias daq pra frente ",0.674836874008179
"pt","9155","e ai presidente  nao vai fazer nada em relacao ao ocorrido ontem  nos o elegemos acreditando em uma atitude do senhor ",0.407415211200714
"pt","29381","cuidado capitao  pode ter armadilha contra sua vida  que deus o proteja e guarde de todo mal  em oracao por sua vida",0.274161130189896
"pt","10946","a esquerda chora   ",0.341683089733124
"pt","29363","problema nao presidente   o povo da bahia sabe das suas virtudes e do seu carater   deus estara sempre com o sr ",0.204613089561462
"pt","41935","deus vai na frente cuidando de tudo presidente jesus tem muito amor pelo senhor e pelo brasil",0.970419466495514
"pt","14","presidente   essa    juiza   e acusada aqui em coari   cidade do famoso prefeito pedofilo   interior de manaus por corrupcao  e ate hoje nao foi julgada  por favor cobre o cnj eles ate hoje nao fizeram nada  ",0.430904895067215
"pt","23048","pois e triste ele compartilha isso ne  deve ser poq vc prefere viver no seu mundinho e nao ver a realidade voce deveria achar um absurdo a covardia que essa mulher esta passando isso sim ",0.214285716414452
"pt","8838","para o homem mais honesto do mundo  mesmo com dezenas de advogados  foi mais facil mudar a lei do que provar sua inocencia    o brasil dara a resposta nas ruas ",0.818295657634735
"pt","29815","espero que a bahia entenda de vez  quem manda na policia  quando precisar de protecao militar e nao tiver  e so lembrar em quem vcs votaram",0.436612904071808
"pt","21","leis fraca  policia prende  justica solta ",0.434200078248978
"pt","8854","a unica forma de salvar nosso amado brasil",0.939443230628967
"pt","23062","proteja nosso pais bolsonaro  feche nossas fronteiras para essa ideologia  ",0.684522271156311
"pt","23","depois a gente mata e vai preso e conduzido ao juri  esse mp e judiciario ta do lado de quem ",0.485462725162506
"pt","29376","mas um governador pode impedir a presenca da policia em um evento em que participa o presidente da republica    o brasil esta todo errado     coloque entao a policia federa para fazer a sua seguranca presidente   ",0.403852224349976
"pt","23069","a esquerda que implementa o comunismo socialismo sempre teve alianca como isla revolucionario  ",0.510804295539856
"pt","8847","sou portugues  mas acho incrivel um meio de comunicacao como a globo  ser tao parcial em seus comentarios facciosos ",0.523458898067474
"pt","29385","boa viagem senhor presidente   por favor olhe pelos companheiros caminhoneiros   obrigado",0.807047963142395
"pt","8859","presidente o senhor nao vai se posicionar sobre a decisao absurda do stf  ",0.313189208507538
"pt","25512","absurdo  qdo a ignorancia reina entre as pessoas  qual a dificuldade de investir em um pais bom para todos os cidadaos  para todas as pessoas que aqui vivem  pq expor a ignorancia sobre uma religiao  um povo  o que se ganha divulgando odio  violencia  venha conhecer os muculmanos  desca do pedestal  seja um estadista de vdd  aprenda a dialogar com o povo  ainda ha tempo  muitas pessoas deram credito a este governo  um governante governa para o seu pais e nao apenas para os seus eleitores  o islam e a segunda religiao em numero de pessoas no mundo  se fosse uma religiao violenta  este mundo nao existiria  islam significa paz  paz esta q deixamos de ter no nosso pais na ultima campanha presidencial  por fim  convido as pessoas q desconhecem o islam e os muculmanos q visitem uma mesquita  que procure cursos em universidades q trate do tema  chega de violencia e de atacar grupos minoritarios q tb contribuiram para formacao do nosso povo ",0.439024388790131
"pt","42442","que deus o guarde meu amigo e sr  presidente",0.506491303443909
"pt","10963","presidente a italia toda agradece pelo senhor ter mandando battisti de volta ao seu pais  e pagar pelos seus crimesparabens presidente ",0.545647084712982
"pt","23128","sr  presidente  este e um assunto sensivel  nao deveria postar sobre isso  eu acho  ao menos nao de forma tao chocante     ainda mais sendo a cultura de um povo  errado ou nao  pode criar conflitos para um governo que so esta comecando    mas entendo que o sr queira trazer a dura realidade que e o perigo de nao controlar a imigracao para o nosso pais    e muito triste que ainda existam essas coisas em 2019  ",0.366666674613953
"pt","42451","mil cairao ao teu lado e dez mil a tua direita  mas tu nao seras atingido  deus te abencoe meu presidente ",0.387120246887207
"pt","10953","caraca um minuto que ele postou e ja tem varios comentarios ",0.510331273078918
"pt","8861","todo dia um  deslize  desse    isso ai e msg subliminar    programacao neuro linguistica   kkkkkk",0.568351984024048
"pt","8843","tudo estava indo tao bem    ate aqui  daqui pra frente comeca a bagunca e inseguranca de novo   ",0.805848836898804
"pt","23055","quem nao quer ver faz igual o filme bird box  tapa os olhos  a realidade nua e crua",0.451520264148712
"pt","29377","pode vir presidente sou conquistense nossa cidade te esperando com alegria",0.873303174972534
"pt","8853","estamos mudando o brasil presidente  qual a sua postura sobre a barbarie feita no stf ontem  aonde nao vi o senhor tomar nenhuma posicao  ou teve acordao mesmo ",0.394033163785934
"pt","26","presidente estamos contigo  faca todas mudancas necessarias para nosso brasil   ",0.571528553962708
