,path,id,parent_id,level,object_id,object_type,query_status,query_time,query_type,message,created_time,like_count,comment_count,error.message
27257,211857482296579_1677056985776614/211857482296579_1340804376068545/1340804376068545_1340808209401495,27262,7,2,1340804376068545_1340808209401495,data,fetched (200),2020-06-02 21:41:06.461444,Facebook:/<post-id>/comments,as feministas estao ocupadas criticando a fala da ministra damares,2019-01-06T00:54:46+0000,5693.0,156.0,
27268,211857482296579_1677056985776614/211857482296579_1340804376068545/1340804376068545_336120443644448,27273,7,2,1340804376068545_336120443644448,data,fetched (200),2020-06-02 21:41:06.461444,Facebook:/<post-id>/comments,alo kefera buchmann vai la explicar o que e feminismo para os homens de la  ,2019-01-06T01:15:41+0000,4535.0,210.0,
47950,jairmessias.bolsonaro/211857482296579_1492944010854580/1492944010854580_1492954750853506,9402,3,2,1492944010854580_1492954750853506,data,fetched (200),2020-06-02 21:36:44.086275,Facebook:/<post-id>/comments,vemos que a inversao de valores dos direitos humanos e tao grande  quando percebemos que a morte de uma vereadora de minima importancia  tem mais repercussao que a morte brutal de uma crianca ,2019-06-18T17:36:56+0000,4008.0,265.0,
47946,jairmessias.bolsonaro/211857482296579_1492944010854580/1492944010854580_173647420308673,9398,3,2,1492944010854580_173647420308673,data,fetched (200),2020-06-02 21:36:44.086275,Facebook:/<post-id>/comments,como jornalista  lamento o silencio dos colegas de profissao e formacao por puro interesse ideologico  prova que a doenca e infinitamente maior do que imaginavamos  ,2019-06-18T18:49:27+0000,3296.0,130.0,
62453,jairmessias.bolsonaro/211857482296579_1372679519547697/1372679519547697_1372685089547140,23904,5,2,1372679519547697_1372685089547140,data,fetched (200),2020-06-02 21:40:17.164343,Facebook:/<post-id>/comments,primeira pessoa que vejo mencionar o piloto  so podia ser  meu presidente  que deus conforte a familia de mais esses dois   ,2019-02-11T16:25:45+0000,2335.0,278.0,
33591,211857482296579_1677056985776614/211857482296579_1446345052181143/1446345052181143_1446350375513944,33595,8,2,1446345052181143_1446350375513944,data,fetched (200),2020-06-02 21:42:40.879476,Facebook:/<post-id>/comments,agora israel vai contra atacar e vai ser criticado pela grande midia mundial  e pela onu ,2019-05-04T21:13:50+0000,2219.0,132.0,
47944,jairmessias.bolsonaro/211857482296579_1492944010854580/1492944010854580_1492952994187015,9396,3,2,1492944010854580_1492952994187015,data,fetched (200),2020-06-02 21:36:44.086275,Facebook:/<post-id>/comments,presidente ao meu ver a pena teria que ser de morte  alguem capaz de matar o proprio filho nao e digno de viver ,2019-06-18T17:36:34+0000,2066.0,126.0,
9392,211857482296579_1677056985776614/211857482296579_1492944010854580/1492944010854580_123780845510596,9399,3,2,1492944010854580_123780845510596,data,fetched (200),2020-06-02 21:36:44.086275,Facebook:/<post-id>/comments,sobre a constituicao  o poder emana do povo e para o povo  eu sou a favor da pena de morte  isso faria  essas pessoas  malucas   pensarem muito bem antes de cometer essas atrocidades     #mudabrasil,2019-06-18T17:42:43+0000,2008.0,100.0,
27261,211857482296579_1677056985776614/211857482296579_1340804376068545/1340804376068545_1340810686067914,27266,7,2,1340804376068545_1340810686067914,data,fetched (200),2020-06-02 21:41:06.461444,Facebook:/<post-id>/comments,transfere a embaixada logo  presidente  ,2019-01-06T00:56:13+0000,1702.0,112.0,
65824,jairmessias.bolsonaro/211857482296579_1340804376068545/1340804376068545_1340808609401455,27274,7,2,1340804376068545_1340808609401455,data,fetched (200),2020-06-02 21:41:06.461444,Facebook:/<post-id>/comments,inacreditavel que isso aconteca debaixo dos direitos humanos da onu   ironia ,2019-01-06T00:55:05+0000,1674.0,53.0,
